,temp,pres,rh,ws,VentCoef
2019-04-03,295.07916666666665,1002.75,71.20833333333333,1.8333333333333333,1619.1695652173914
2019-04-06,290.9458333333333,1017.3333333333334,66.66666666666667,1.7666666666666666,971.2833333333333
2019-04-09,296.25416666666666,1012.1666666666666,61.083333333333336,1.8333333333333333,954.4625000000001
2019-04-12,291.2916666666667,1011.0,62.75,2.6750000000000003,2032.4375
2019-04-15,289.4291666666667,1020.6666666666666,69.25,1.9749999999999999,1808.4666666666665
2019-04-18,294.1875,1008.2916666666666,67.33333333333333,1.7958333333333334,1379.6772727272728
2019-04-21,289.2375,1016.125,73.16666666666667,0.8208333333333333,887.1933333333333
2019-04-24,291.84583333333336,1020.1666666666666,76.625,3.25,3737.7999999999997
2019-04-27,291.37083333333334,1009.6666666666666,88.70833333333333,0.8208333333333333,645.6235294117647
2019-04-30,286.4916666666667,1016.7083333333334,70.95652173913044,1.7434782608695654,1992.0947368421055
2019-05-03,293.6458333333333,1010.5,62.5,2.0875,1600.1125
2019-05-06,288.8875,1020.0,74.41666666666667,1.7416666666666665,1146.7708333333333
2019-05-12,290.90000000000003,1017.4583333333334,60.25,1.8,1196.640909090909
2019-05-15,288.20416666666665,1023.0416666666666,81.08333333333333,1.0374999999999999,1520.6066666666666
2019-05-18,291.9291666666667,1013.2916666666666,82.33333333333333,1.7916666666666667,2118.7090909090907
2019-05-24,288.33750000000003,1012.3333333333334,60.75,1.9416666666666667,1338.1041666666667
2019-05-27,288.21250000000003,1010.1666666666666,85.125,1.0291666666666666,282.7434782608696
2019-05-30,285.2083333333333,1016.5,75.375,2.1791666666666667,1503.2666666666667
2019-06-02,289.1375,1020.3333333333334,76.375,0.9874999999999999,248.225
2019-06-11,290.27500000000003,1009.0,89.70833333333333,2.4166666666666665,2227.225
2019-06-14,286.55,1014.8333333333334,88.75,3.0875,4092.3869565217387
2019-06-17,286.65833333333336,1011.375,94.41666666666667,1.2083333333333333,1330.3
2019-06-20,286.71250000000003,1018.2083333333334,75.08333333333333,2.1041666666666665,1248.075
2019-06-23,288.425,1007.4583333333334,90.70833333333333,1.3791666666666667,1155.575
2019-06-26,283.8333333333333,1011.0416666666666,47.041666666666664,3.9,5897.970833333333
2019-06-29,284.76666666666665,1009.25,90.875,1.8375000000000001,1666.9739130434784
2019-07-08,285.05,1019.0,64.83333333333333,1.5791666666666666,874.5791666666668
2019-07-11,288.3833333333333,1009.375,84.25,1.991666666666667,1216.6416666666667
2019-07-14,284.2916666666667,1017.4166666666666,81.20833333333333,0.9583333333333334,341.1764705882353
2019-07-17,287.1166666666667,1016.75,66.08333333333333,2.9,3573.2291666666665
2019-07-21,289.46250000000003,1005.875,65.29166666666667,3.9,6923.066666666667
2019-07-23,282.625,1024.9166666666667,67.0,2.1999999999999997,2304.8416666666667
2019-07-26,285.0625,1020.375,92.58333333333333,1.3166666666666667,1101.0714285714287
2019-07-29,285.0708333333333,1015.4583333333334,80.83333333333333,0.9416666666666668,882.2642857142857
2019-08-01,284.575,1015.0,46.958333333333336,3.908333333333333,6705.241666666666
2019-08-04,286.65416666666664,1023.625,49.75,3.983333333333333,6221.054166666666
2019-08-07,285.6375,1021.5,54.875,2.5208333333333335,2175.5875
2019-08-10,285.76666666666665,1015.2916666666666,55.666666666666664,2.4499999999999997,1854.6708333333333
2019-08-12,281.35833333333335,1026.0416666666667,65.04166666666667,2.9499999999999997,4254.141666666666
2019-08-16,289.1041666666667,1007.0833333333334,75.08333333333333,1.4666666666666668,967.2772727272727
2019-08-19,280.7,1027.5416666666667,57.291666666666664,1.9166666666666667,1211.4041666666667
2019-08-22,283.8333333333333,1024.6666666666667,70.20833333333333,0.6916666666666668,552.8615384615384
2019-08-25,289.1791666666667,1015.75,77.125,1.4833333333333334,847.9869565217392
2019-08-28,295.9291666666667,1005.125,67.375,3.0875,3309.8958333333335
2019-08-31,286.05,1017.25,46.625,1.5250000000000001,2380.10625
2019-09-03,282.33750000000003,1022.7916666666666,46.5,1.925,1585.1333333333332
2019-09-06,287.0625,1014.2083333333334,76.54166666666667,2.5708333333333333,2436.330434782609
2019-09-09,286.225,1011.25,89.625,2.466666666666667,2572.679166666667
2019-09-12,287.5625,1019.75,56.416666666666664,1.2583333333333333,775.19
2019-09-15,290.31666666666666,1010.1666666666666,60.5,2.841666666666667,3511.6
2019-09-18,291.0125,1002.25,47.708333333333336,2.875,2935.1875
2019-09-21,290.1333333333333,1021.2916666666666,32.083333333333336,2.404166666666667,1822.9833333333333
2019-09-24,293.9375,1018.2083333333334,39.208333333333336,1.6041666666666667,719.2318181818182
2019-09-27,289.375,1017.5833333333334,66.0,3.704166666666667,4544.916666666667
2019-09-30,291.1125,1000.5416666666666,74.75,3.279166666666667,4236.087500000001
2019-10-03,286.675,1020.125,75.54166666666667,3.891666666666667,5417.145833333333
2019-10-06,290.97083333333336,1013.6666666666666,48.75,3.870833333333333,5507.170833333334
2019-10-09,295.0541666666667,1009.4166666666666,67.83333333333333,2.316666666666667,1794.0956521739129
2019-10-15,286.1125,1023.5,86.08333333333333,2.983333333333333,2653.7625000000003
2019-10-18,291.2708333333333,1019.0,57.291666666666664,1.5791666666666666,3174.40625
2019-10-21,288.75416666666666,1013.125,70.08333333333333,1.5333333333333332,1267.5772727272727
2019-10-24,295.05833333333334,1012.1666666666666,45.458333333333336,1.7333333333333334,1105.482608695652
2019-10-27,295.70416666666665,1003.125,73.95833333333333,2.1166666666666667,1076.6260869565217
2019-10-30,292.12916666666666,1015.75,63.791666666666664,2.716666666666667,3085.3333333333335
