,Ag,Al,As,Ba,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,Pb,Sb,Se,Ti,V,Zn
count,100.0,99.0,100.0,100.0,98.0,97.0,99.0,100.0,100.0,100.0,100.0,93.0,100.0,100.0,100.0,99.0,100.0,100.0,94.0,100.0,100.0,100.0
mean,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
std,,,,,,,,,,,,0.0,,,,,,,,,,
min,0.0,0.09725060238444902,0.0,0.23343351839484916,0.0,0.0,0.0,0.0,0.0,0.061580871872946204,0.0,1.0,0.09780208973630487,5.1172487619637215,0.3413110275281348,0.0,0.7800394617808666,47.69265820859749,0.0,0.07079783655758011,0.11838258370899013,0.0
25%,0.0,0.1651437971898262,8.928579993855028,0.571316410769639,0.7507467949976862,0.0018501991919078037,0.007639927940515212,0.9162717891977543,6.640126051108746,0.2236152572867593,0.4157925711202569,1.0,0.3204412479084623,11.529946991825518,2.9557335848943165,0.0,14.444255970550493,396.94828870427204,0.0,0.14924856876549925,0.8459341090857939,16.633978297684685
50%,0.06316961940058197,0.2056516803897028,21.493459978363347,1.0057138101932859,1.1046879921554158,0.13582668985210813,0.71258336450317,2.937760866077485,24.352895478237222,0.34270397345124226,0.8114374153846422,1.0,0.4873680542079626,18.93964265726879,5.840701948280475,12.459882606809433,45.53294279947355,764.4330369393974,0.0,0.20306296934245943,2.0779795973409962,49.80626028472519
75%,2.7152719466859834,0.2997101990970946,41.050172853609105,1.6665362825771919,1.5450864746450845,0.35455734070409084,1.9522015413974647,7.19510035531296,87.73531872309015,0.6347517731007564,2.1006488258752016,1.0,0.9323005427463998,49.20265416634017,12.472832665553653,96.90777835359998,116.3140846147667,2112.159105744871,3.39879206969027,0.3840312571231418,5.222491991445002,93.29282696121193
max,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
