Filtro,Cl,NO3,SO4,Na,NH4,PM2.5
Unidad,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Método,C. Ionica y TXRF,C. Ionica,C. Ionica,C. Ionica,C. Ionica,Gravimetría
72,0.1339685817,0.2739277959,0.5518506215,0.2559335438,0.1189337689,10.88498703
73,0.1438032677,0.2330021718,0.2514905908,0.1839313687,0.08610247765,8.012516733
74,0.1168194936,0.4350334381,0.3026755053,0.1988873149,0.1477289,16.70395563
75,0.2169355111,0.3935817476,0.7565459861,0.3407739766,0.1270201924,15.75947346
76,0.2154386723,0.2168097158,0.5428304052,0.3153642274,0.09629518662,10.90611827
77,0.1413975499,0.4275358154,0.5520561414,0.294332962,0.1001627865,12.23956597
78,0.1436813031,0.2343345853,0.4154105922,0.3278920152,0.07448606736,14.59185925
79,0.2417838343,0.5305545205,1.04423099,0.3437972908,0.3340119442,14.72612199
80,0.3180981826,0.209743286,0.4480734878,0.3158928587,0.04071563242,9.610554539
81,0.1882376084,0.3396612525,0.4196881649,0.2896377162,0.1386308139,11.46145587
82,0.176041493,0.4812224339,0.5070520838,0.297639497,0.06954311038,24.20822953
83,0.1540654018,0.2823080804,0.3996256327,0.2946228309,0.04679538301,9.341300369
84,0.1665613714,0.379910096,0.3975144087,0.2835533664,0.05991083211,8.763859912
85,0.1892469335,0.4805490625,0.6042850828,0.2910398618,0.1152919347,13.50040351
86,0.1804420874,0.3755825644,0.621765149,0.3156268167,0.1002504835,23.37356965
87,0.1319074022,0.4364275327,0.4488076305,0.2335226724,0.09488890073,12.62663707
88,0.1341885365,0.3754153666,0.6460787329,0.3076445072,0.1225616982,4.185312238
89,0.1643979291,0.3123148456,0.5290206253,0.2979280462,0.07139951224,11.06130026
90,0.1723906957,0.4051804159,0.4736802992,0.2949997781,0.1144617684,8.78328042
91,0.1564530522,0.5129766518,1.073311891,0.3739620564,0.2143005077,11.01187185
92,0.1419030814,0.2335673216,0.7919678832,0.4107868695,0.1554620213,NA
93,0.3334727353,0.4603687233,0.6690533374,0.4709982942,0.1188029655,NA
94,0.2243677651,0.3532395074,0.4529757545,0.4204946659,0.1453264631,NA
95,0.21511585,0.55060126,0.78376512,0.42230443,0.14509045,21.63170239
96,0.26451238,0.5420272,0.72522498,0.42608682,0.0633853,20.6903128
97,,,,,,NA
98,0.16347534,0.4413121,0.66503588,0.34596696,0.22534555,16.76672176
99,0.27241306,0.58433419,1.6107587,0.42304911,0.29193249,13.86244201
100,0.2709929,0.37434333,0.85410692,0.4252846,0.19286475,12.19228012
101,0.25449149,0.61050953,0.82783111,0.36921063,0.18370124,18.95443787
102,0.35925993,0.63825303,0.70201281,0.38252641,0.13101333,22.49345524
103,0.2612381,0.78476784,0.62870242,0.46245624,0.13012683,14.47358
104,0.28764867,0.51299707,0.94902646,0.46334766,0.15203167,19.72567955
105,0.25275477,0.8408261,1.29905857,0.52607461,0.14281716,28.70268344
106,,,,,,NA
107,0.25643355,0.36780674,0.51009053,0.42389714,0.04386539,16.31451792
108,0.21946855,0.64207072,0.81533096,0.43092211,0.1134597,27.00600634
109,0.16937862,0.41710867,0.520948,0.27449661,0.06282625,19.24584335
110,0.92035355,0.36535276,0.76016839,0.5831055,0.08293251,18.92579139
111,,,,,,NA
112,0.26720954,0.67379411,0.57854497,0.42557673,0.04156706,23.80170279
113,,,,,,18.72380083
114,0.32205964,0.51401259,0.92494579,0.45935776,0.05034847,20.10931912
115,0.21860321,0.5124422,0.89557222,0.42526468,0.15457545,15.75127974
116,NA,NA,NA,NA,NA,NA
