Filtro,Cl,NO3,SO4,Na,NH4,Mg,C Orgánico,C Elemental,C Total,S,Ca,V,Cr,Fe,Cu,As,Se,Sr,Hg,Pb,Zn,Mn,Mo,Ni,Ti,Sb,OCPk1 C,OCPk2 C,OCPk3 C,OCPk4 C,OCPk5 C,OCPk6 C,OCPk7 C,OCPk8 C,Pyrol C,ECPk1 C,ECPk2 C,ECPk3 C,ECPk4 C,ECPk5 C,ECPk6 C,PM2.5,Na,Mg,Al,K,Co,Ag,Cd,Ba,Hg-ICPcr
Unidad,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Método,C. Ionica y TXRF,C. Ionica,C. Ionica,C. Ionica,C. Ionica,C. Ionica,Método Niosh,Método Niosh,Método Niosh,TXRF,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF,ICP-MS,ICP-MS+ICPcr,ICP-MS+ICPcr,ICP-MS+ICPcr,ICP-MS+ICPcr,ICP-MS y TXRF,ICP-MS+ICPcr,ICP-MS+ICPcr,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Gravimetría,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR
9,0.1685781511,0.4205210498,0.2983648338,0.3155391131,0.1633811357,,5.683858388,0.8633699967,4.799505559,0.3370116891,0.6317165064,0.001912384873,,0.1081726458,0.005016686111,0.002727142951,,0.002592559043,0.001423781,0.01025639,0.02565493,0.00206821,0.00021164,0.00019097,0.00269048,0.00760964,1.75849386,1.114248001,0.5259587782,0.8624826967,0.01566178947,0,0,0,1.407014552,0.1338287062,0.2655788282,1.300703815,0.5063576343,0.02284784674,0.0162027282,14.43471618,,,,,,,,,
10,0.2337124065,0.2180089449,0.327433894,0.3425522691,0.09453656554,,6.216087083,1.013706038,6.547228385,0.300801291,,,,0.2022590776,0.006986289353,0.0007575397086,0.0003030158834,0.001986527277,,0.00528532,0.01326415,0.00545556,0.00040161,0.00131651,0.00104275,0.00330188,1.953431303,1.397009546,0.6400293083,1.077473435,0.0317440403,0,0,0,1.116398747,0.09635451315,0.3107411053,1.281635218,0.3784026718,0.0204271789,0.01767929625,16.58286252,,,,,,,,,
11,0.1507522911,0.351902446,0.4466023077,0.3144979208,0.06659963852,,5.505345608,1.316621428,7.229793121,0.300801291,,,,0.1819570134,0.00850136877,0.001515079417,0.0001515079417,0.002592559043,,0.0100987,0.03072942,0.00738014,0.00030446,0.00234815,0.00907844,0.00459819,1.431289774,1.141245561,0.5298887449,1.044506537,0.02344790834,0,0,0,1.334967053,0.1138571752,0.3293785027,1.597105824,0.5496711123,0.02086308432,0.01584759387,14.54328675,,,,,,,,,
12,0.3017879512,0.348468266,0.6819641503,0.3543524486,0.05936596992,,3.388846723,1.722542103,6.821967036,0.5965447933,0.6547457135,,0.002123529395,0.4487624988,0.00319859081,0.002121111184,0.001666587359,0.00228954316,,0.01568251,0.07334858,0.0044817,0.00049825,0.0022653,0.00730025,0.00321436,1.459850117,0.5703712474,0.3125289312,0.602384968,0.005376135502,0,0,0,0.4383348122,0.04308089574,0.1351858553,0.8705763982,1.01648137,0.06048737073,0.01020022731,13.28955514,,,,,,,,,
14,0.1407402856,0.4044893418,0.4822097288,0.3325335934,0.1659026834,,5.36634427,0.6616842498,4.509934356,0.4860291742,0.787834592,0.001758039108,0.002721250394,0.09149307828,0.002889291176,0.002118273361,,0.001678849255,,0.02622694,0.05804161,0.00685463,0.00043114,0.00184437,0.01549383,0.00228743,1.479181014,1.195787133,0.5247316174,0.9184130271,0.02398031935,0,0,0,1.224250822,0.1298833473,0.3323654962,1.074914927,0.2942377527,0.01651133436,0.0131905472,12.49989012,,,,,,,,,
15,0.4380027751,0.3634937515,0.5714510691,0.3981303517,0.03010455852,,7.416791895,2.39385032,6.02802852,0.6452992894,0.7096390279,,0.001958052232,0.2028685244,0.006510423662,0.0009067194467,0.0003022398156,0.003034665783,,0.00858978,0.07553721,0.0091524,0.00084675,0.00345286,0.01147858,0.00194145,2.585781688,1.119770728,0.5354989739,0.909801337,0.0333095191,0,0,0,2.232627973,0.1716339686,0.5952897456,2.950056183,0.845190517,0.02296718444,0.01653928673,21.49606282,,,,,,,,,
16,0.1362617304,0.3749988428,0.5001676262,0.2910151023,0.1096997163,,4.754108985,0.7537807882,9.810642216,0.2696486769,0.4892458184,,,0.04422130178,0.002752241557,0.001062462992,,,,0.00557655,0.00982376,0.00244218,0.00030139,0.00022802,0.00721024,0.00222602,1.274192991,0.9740289557,0.6661405262,1.435137568,0.01770929779,0,0,0,0.3868996575,0.03347800123,0.1215153196,0.6771843822,0.2683197371,0.0111022339,0.004171327432,14.33378342,,,,,,,,,
18,0.16449449,0.6574667828,0.4261274975,0.2795471942,0.2251205938,,6.001964395,0.669130181,6.671094576,0.2006143132,,,,0.09348509548,0.006472320128,0.001955552512,,0.001508225291,,0.01860235,0.04333283,0.01018253,0.00037666,0.00184914,0.00554629,0.00735123,1.785748022,1.198843623,0.5208888438,0.8242454014,0.02151464907,0,0,0,1.650724161,0.2107391211,0.413476841,1.314242154,0.322173414,0.02073002448,0.01380545053,17.47322697,,,,,,,,,
19,0.6958667614,1.494875415,1.445229258,0.3431858507,1.50726121,,10.47648691,2.140303952,12.61679086,1.2400868,1.161680177,0.001150758417,0.002561706231,0.2959136177,0.02267690999,0.005288474345,0.003324183874,0.004091700146,,0.08157505,0.18103946,0.00776963,0.00096061,0.00351352,0.01359514,0.01769132,3.119535499,1.802399143,0.7386972094,1.243360105,0.03758612564,0,0,0,3.534911519,0.2989290645,0.7205838282,3.62076893,0.9660205898,0.02655098415,0.01756259516,38.93872937,,,,,,,,,
20,0.1885583141,0.3625833031,0.5324728557,0.2554129285,0.0905341802,,3.234031984,1.183596122,4.417628107,0.3028772994,,,0.01183306133,0.1207295998,0.00326373962,0.002170676094,0.00132652428,,,0.02979996,0.08664793,0.00530181,0.00042213,0.01205323,0.00302754,0.00411311,1.160262973,0.4473361031,0.2622729796,0.4778904494,0.007502782887,0,0,0,0.8787670212,0.07252551409,0.2109113554,1.181762546,0.5554578379,0.01607632896,0.005838365196,12.58602065,,,,,,,,,
