,Ag,Al,As,Ba,Ca,Cd,Cl,Co,Cr,Cu,EC,ECPk1 C,ECPk2 C,ECPk3 C,ECPk4 C,ECPk5 C,ECPk6 C,Fe,K,Mg,Mn,Mo,NH4,NO3,Na no sol,Na sol,Na total,Ni,OC,OCPk1 C,OCPk2 C,OCPk3 C,OCPk4 C,OCPk5 C,PM2.5,Pb,Pyrol C,SO4,Sb,Se,TC,Ti,V,Zn,ws,temp,rh,pres,blh
count,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
mean,0.000539060819294655,0.1895582961698491,0.00033128012853693347,0.005601279726738947,0.3326441249459077,0.0002915114438755806,0.2656415446266425,0.00010950089367009475,0.001230609432360657,0.010536169865191295,0.969940202020202,0.1299489757585346,0.6825522372454138,1.0964085464062392,0.28314729445274417,0.019983365080845514,0.020048979965311305,0.13240106994853212,0.3385276235809607,0.14069659195676362,0.003525174703354029,0.00041488634988178576,0.31095937338924,0.66270863404033,1.7675280263655084,0.3491467375610806,2.0934919716965474,0.013901267098822816,4.863357676767676,1.7559924807169776,1.3755438869093919,0.5345234898948932,0.8625063870704497,0.011953266763741689,17.127932986970333,0.012680019300395149,1.242222456982662,0.6278678613301332,0.0021164079458600603,0.00031332980307507096,5.833297878787879,0.00767326907883708,0.0014000336243780989,0.037762903816635045,2.264141414141414,19.43656565656566,64.69979797979798,1013.1466666666668,506.981212121212
std,0.001195771930313117,0.10232957778586282,0.0002605899241106484,0.0028811963648838817,0.20293489517701346,0.0009296331433440017,0.26793764861258673,0.0001655589824221805,0.0014241929698675668,0.015859320284106006,0.441165604893191,0.08734716197578728,0.5611745141035581,0.6612137137855431,0.2125497856252373,0.00896931912465782,0.0069716795263706725,0.07526930402243426,0.41624889690221917,0.08472119319917033,0.001958366721434384,0.0007025496082380281,0.6732105814291849,0.8930683555253476,1.6160034131363303,0.15828620234473956,1.6620103403709887,0.025976578802006926,2.145880008962513,0.5726691278444952,0.489211659805212,0.16606726708781588,0.23226781415665035,0.0079295065182329,6.836378024095366,0.019132059515387004,0.9367761032090861,0.6073726666763566,0.002106165267682717,0.0005960737734496776,2.3980446377984768,0.004755845279674657,0.0012316863367684016,0.03263487957602734,0.8616382238373432,8.737350992757774,13.804518114260079,6.2607292396529095,191.491432329644
min,0.0,0.0,0.0,0.00109702643303591,0.0,0.0,0.0884678305730369,0.0,0.0,0.0,0.31728,0.0134563528308102,0.0530824227859978,0.272375203438092,0.0580637170755989,0.00235979648874193,0.00418930314815143,0.0107516536888051,0.0,0.0,0.000280708685462898,7.19730171664498e-05,0.010551063989952,0.130487343048206,0.00117317368046949,0.184002398001095,0.05,0.0,1.42586,0.808866551987579,0.571868060743939,0.256637189731746,0.463607302328398,0.00128595659221175,4.1928503344453,0.000315836440219437,0.00735197388085844,0.0710456321913098,0.000208157755618513,0.0,1.7856,0.000549644305095243,8.90278157979692e-05,0.0,0.69,6.28,32.08,1000.54,151.81
25%,0.0,0.1156379559489875,0.0001534007650604445,0.003558980777597495,0.1915757345052835,0.0,0.14201520475946075,0.0,0.0003604532705992185,0.002479222646276025,0.668245,0.067723336375923,0.2950483754778625,0.68162015889245,0.14923293871745702,0.01389181104568275,0.0144818361026364,0.0782719175465532,0.13424531064032,0.0850241905526831,0.00204594111839777,0.00019641081414867052,0.0763736727770354,0.341219141976353,0.460678034103427,0.27623122814058126,0.8279133347068105,0.0,3.37911,1.35125609550151,0.9958223640130579,0.4085354726991335,0.6774666912389725,0.00655032542899109,12.120720801245225,0.003218475469350935,0.5676424199795524,0.31703639267455574,0.00084496170045847,0.0,4.1801,0.00424081100287924,0.0005968970614107739,0.00843118830419309,1.6749999999999998,13.940000000000001,55.96,1009.0,386.36
50%,2.14988413911511e-05,0.182173035321692,0.000257536357480047,0.00525001459073808,0.319382751174704,0.000133818338958116,0.184584158182575,8.33933645272332e-05,0.000769082060740342,0.00471403391423459,0.91722,0.113822389671865,0.53278208693186,0.928925165853227,0.202677373910074,0.0185303845121935,0.0190046858697771,0.124093761997912,0.184244732427708,0.135909570508543,0.00311714406284581,0.000266878872084,0.130016558820227,0.442335394603969,1.41936574921846,0.30031104194126146,1.85302967636487,0.00162880464328981,4.2183,1.58999907435903,1.28097774171675,0.502708365566175,0.828461575772566,0.00892149712300504,15.943679968065899,0.00779344741698215,1.01444958046952,0.4961359851687605,0.0013565629559076,0.0,5.27847,0.00661869424397498,0.00108201917741637,0.0340897906603778,2.1,17.96,63.79,1012.17,493.09
75%,9.805315166777241e-05,0.2546816593976155,0.000461125440307355,0.006834640509878425,0.4427965426614945,0.000260620443853226,0.2798069110297763,0.000145476028840772,0.0017513646301772151,0.0102411545354354,1.17369,0.171911018528572,0.8940520564690745,1.294630562443725,0.3360836067843725,0.0244976211145402,0.0255557870688011,0.166779799281552,0.31249785870056,0.20680034062588648,0.00459281521419315,0.00040279541216021303,0.239946113342061,0.5921491221817625,2.819713455041525,0.35423004309413075,3.172092367011885,0.0136112471835753,6.09754,2.064687445979745,1.5899059931408601,0.6204035545846884,0.990289550378478,0.0143902126824761,21.097291511223425,0.01428137087696425,1.499010222767295,0.693108162706382,0.00257756139968341,0.000440433119110981,6.979485,0.01002673818141275,0.001732804226797705,0.0524898919193697,2.8899999999999997,23.01,74.91499999999999,1017.375,600.725
max,0.00618412966718011,0.573693974899553,0.00144634705565602,0.0147233682778726,0.877670524272852,0.00900172463092423,2.30268079800499,0.00107264984576083,0.0108659641904034,0.084061859667365,2.34796,0.42949836461576,3.25189391196371,3.6084919564432,0.984534081757165,0.0603488030716571,0.041966470128384,0.424201165575185,2.33978166914012,0.388017068370521,0.00903593887272342,0.0066620884946396,4.98765228844254,6.98266666666667,8.73738134895223,1.13563042855779,9.13014323485209,0.147321731543954,11.37241,3.39676570104527,3.22741634866325,1.12630467235012,1.50607292380761,0.0380323687997841,39.0206068307529,0.135294272130972,5.37597771274839,4.78238341968912,0.0105723422459569,0.00244472633848151,13.48917,0.0275797311064176,0.00681013495167728,0.124881087000004,4.67,84.54,94.42,1033.04,1102.4
