date,blh,t2,u10,v10,tp,tcc
2019-01-01 00:00:00,434.548823464609,297.47084969208,-5.46805538549862,1.6987144841946,0.000102939023318583,0.0147711839836419
2019-01-01 01:00:00,440.732307300358,297.271231878166,-5.21786964869031,0.838229259610705,0,0
2019-01-01 02:00:00,413.267333263236,297.153846559921,-4.76119367470173,-0.505428248373106,0,0.020966535943723
2019-01-01 03:00:00,397.087217226358,297.251772279955,-4.36406731967525,-1.98178800320619,0,0.0576808630766179
2019-01-01 04:00:00,365.036159344388,297.430675037708,-3.84745504088716,-2.86079861267787,0,0.0307326079990234
2019-01-01 05:00:00,363.644875481344,297.194648943269,-3.32194898783849,-3.41240139943881,0,0.0845375612286939
2019-01-01 06:00:00,351.947785225384,297.037088970651,-2.96890481827746,-3.51561425809936,0,0.0893290403308257
2019-01-01 07:00:00,329.429598256862,296.986242923711,-2.90239485424187,-3.26041762954307,0,0.0314650634031709
2019-01-01 08:00:00,313.507127379806,297.027045307058,-3.20362312158912,-3.13187414256656,0,0.019989928738193
2019-01-01 09:00:00,317.011101553398,297.001936148075,-3.5818018705822,-3.27175970192335,0,0.0249950406665344
2019-01-01 10:00:00,364.881572248494,298.346531611608,-3.18970243144213,-3.98933481451571,1.94224572299187e-06,0.110295576274549
2019-01-01 11:00:00,391.058320486502,298.445085060616,-3.3080282976915,-4.20748067329643,4.855614307471e-07,0.418338852181344
2019-01-01 12:00:00,443.308758898587,298.822977903308,-2.77981544378092,-4.55492615721233,9.71122861495935e-07,0.243983947019059
2019-01-01 13:00:00,506.328764991271,299.192082540357,-2.09306139652968,-4.65927322311091,0.000441618121265337,0.337036302320968
2019-01-01 14:00:00,596.556099961253,300.770820911405,-1.65339959938741,-4.48725179201,0.000662791352971066,0.328338394396716
2019-01-01 15:00:00,749.442737800167,301.380345745714,-1.30112880150122,-5.0331835425808,0.000821084379394926,0.398287885492805
2019-01-01 16:00:00,827.096988970791,300.780864574998,-1.62555821909344,-4.49216669004145,0.00233652160475954,0.17717791036577
2019-01-01 17:00:00,704.767067086874,301.448768203943,-1.90938562375696,-3.95304018289882,0.00286384131855191,0.395022355149314
2019-01-01 18:00:00,651.486048035497,300.819156042447,-2.19011954172115,-3.41618209023224,0.00438583362323162,0.302061556772924
2019-01-01 19:00:00,658.49399638268,301.234084894639,-2.7341865149658,-2.78178217509526,2.57347558296449e-05,0.132238719423802
2019-01-01 20:00:00,643.705164208845,300.920848136328,-3.21367695336194,-2.31033003315496,2.03935800914164e-05,0.358613217768147
2019-01-01 21:00:00,447.585668551648,300.47076646156,-1.87265046920242,-2.74095071452625,0.00156447892987017,0.869043077533456
2019-01-01 22:00:00,568.112074316804,300.239134469943,-1.59849021047431,-3.87818250518897,0.00184343397183491,0.598141394411976
2019-01-01 23:00:00,537.503829329843,300.101034095537,-1.46005668067929,-3.7632495050688,0.000571263023275061,0.421940091251736
2019-01-02 00:00:00,461.756152341908,300.225952161477,-0.617854926786722,-3.91787975851995,4.05443794674609e-05,0.558314131811454
2019-01-02 01:00:00,485.614094141509,300.307556928171,-0.392030397735638,-4.66683460469776,1.18962550533265e-05,0.372865579173851
2019-01-02 02:00:00,518.7987907267,300.153135600426,0.267655640896467,-5.16815420390613,1.52951850685631e-05,0.210962415882075
2019-01-02 03:00:00,510.554145612366,299.973605113699,0.559603448145728,-4.97307055896531,3.88449144598374e-06,0.149115712694368
2019-01-02 04:00:00,497.723416653185,299.865635730072,1.02865336893163,-4.79500002259492,9.71122861495935e-07,0.123144064822303
2019-01-02 05:00:00,504.989010160192,299.473305120965,1.77418366347014,-4.84225865751275,0,0.140539880670807
2019-01-02 06:00:00,465.569300707287,299.160068362653,2.08391901924055,-4.28989973259313,0,0.253383791372286
2019-01-02 07:00:00,393.325597892943,298.874451679223,1.66745837234325,-3.77232316297303,0,0.429600354020112
2019-01-02 08:00:00,280.37395982658,298.280620069278,0.900660356746851,-2.78291638233329,9.71122861495935e-07,0.256527245815086
2019-01-02 09:00:00,189.116044217307,297.662307029325,-0.00727798950647951,-0.619605110334589,4.85561430747967e-06,0.523003677536508
2019-01-02 10:00:00,248.99277936015,299.375379400932,-1.22959192157921,-2.71713236252766,7.25914338968302e-05,0.994994888071659
2019-01-02 11:00:00,497.878003749079,299.010041137731,0.372060816998852,-4.44074929525085,0.00220833338704206,1
2019-01-02 12:00:00,533.690680964464,298.677972510182,1.39368479945256,-4.65662673955551,0.00228310984737726,1
2019-01-02 13:00:00,536.627835786445,298.587579537844,2.56340945763668,-3.8278993176364,0.000482648062163546,1
2019-01-02 14:00:00,508.544513365748,299.496531093024,3.32904741572084,-4.09670643304903,0.000120662015540885,1
2019-01-02 15:00:00,570.224764627352,299.595084542032,2.76023254888155,-4.29632690694195,5.9238494551259e-05,1
2019-01-02 16:00:00,537.452300297878,299.65660198154,3.82284523010137,-1.15041409773168,0.000112650251933542,1
2019-01-02 17:00:00,605.934383778807,298.900188567181,4.0115479187605,1.28699725679044,2.76770015526367e-05,1
2019-01-02 18:00:00,578.778583933472,299.310095587576,3.03400612177225,-1.03926178840494,1.91796765145469e-05,1
2019-01-02 19:00:00,586.817112919947,299.710586673353,2.50385983867458,-0.369701448889091,8.30310046579137e-05,0.994750736270276
2019-01-02 20:00:00,420.687513866136,300.063370357062,1.78114400854363,0.04277191667375,6.55507931509799e-06,1
2019-01-02 21:00:00,311.549024165152,300.049560319622,0.839177308597669,-0.117151303888195,5.82673716897561e-06,1
