date,date,ws,temp,rh,pres,blh
2019-02-17 12:00:00,2019-02-17 23:30:00,2.125,299.9291666666667,64.625,1009.75,542.8735838691517
2019-02-18 12:00:00,2019-02-18 23:30:00,2.0375,301.1041666666667,62.375,1008.375,520.8921576502603
2019-02-19 12:00:00,2019-02-19 23:30:00,2.1875,304.29583333333335,54.5,1008.0416666666666,415.70852115255843
2019-02-20 12:00:00,2019-02-20 23:30:00,2.45,303.97499999999997,53.125,1008.5416666666666,533.203302203798
2019-02-21 12:00:00,2019-02-21 23:30:00,2.1681818181818184,303.07916666666665,60.59090909090909,1007.4583333333334,532.0267226406073
2019-02-22 12:00:00,2019-02-22 23:30:00,1.3541666666666667,299.27500000000003,81.75,1005.3333333333334,465.33527302044746
2019-02-23 12:00:00,2019-02-23 23:30:00,1.2249999999999999,295.8958333333333,86.375,1001.4166666666666,374.6592060637736
2019-02-24 12:00:00,2019-02-24 23:30:00,2.470833333333333,292.60833333333335,51.583333333333336,1007.7916666666666,786.6273754916077
2019-02-25 12:00:00,2019-02-25 23:30:00,2.2583333333333333,291.1125,54.416666666666664,1013.5,916.051127442649
2019-02-26 12:00:00,2019-02-26 23:30:00,2.004166666666667,291.55,45.833333333333336,1014.25,1022.8171346302632
2019-02-27 12:00:00,2019-02-27 23:30:00,1.7565217391304346,294.37083333333334,56.130434782608695,1011.7916666666666,728.7409492083958
2019-02-28 12:00:00,2019-02-28 23:30:00,2.225,294.90000000000003,61.708333333333336,1009.7916666666666,478.36352993549264
2019-03-01 12:00:00,2019-03-01 23:30:00,3.7541666666666664,298.2916666666667,58.708333333333336,1006.7083333333334,872.4854779595935
2019-03-02 12:00:00,2019-03-02 23:30:00,1.9208333333333334,295.4458333333333,60.041666666666664,1012.375,650.5091434711686
2019-03-03 12:00:00,2019-03-03 23:30:00,2.5416666666666665,296.4791666666667,68.5,1006.7083333333334,570.5811737651069
2019-03-04 12:00:00,2019-03-04 23:30:00,0.7208333333333333,294.27916666666664,82.79166666666667,1008.9583333333334,335.5551119316517
2019-03-05 12:00:00,2019-03-05 23:30:00,1.5541666666666665,297.40000000000003,75.08333333333333,1011.2916666666666,377.29148077996433
2019-03-06 12:00:00,2019-03-06 23:30:00,2.0083333333333333,301.75416666666666,66.45833333333333,1005.0416666666666,369.5041558243169
2019-03-07 12:00:00,2019-03-07 23:30:00,2.841666666666667,296.62083333333334,78.04166666666667,1007.2083333333334,577.5805339402959
2019-03-08 12:00:00,2019-03-08 23:30:00,3.6833333333333336,290.15833333333336,57.25,1021.875,1095.030778842627
