Filtro,,K,K,Ca,Ca,Ti,Ti,Ti,V,V,Mn,Mn,Mn,Fe,Fe,Ni,Ni,Ni,Cu,Cu,Zn,Zn,Zn,As,As,Se,Se,Ba,Ba,Pb,Pb,Pb,Mo,Mo,Sb,Sb
Unidad,,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Método,Observ,TXRF,ICP CR,TXRF,ICP CR,TXRF,ICP-MS,ICP CR,TXRF,ICP CR,TXRF,ICP-MS,ICP CR,TXRF,ICP CR,TXRF,ICP-MS,ICP CR,TXRF,ICP CR,TXRF,ICP-MS,ICP CR,TXRF,ICP CR,TXRF,ICP CR,TXRF,ICP CR,TXRF,ICP-MS,ICP CR,ICP-MS,ICP CR,ICP-MS,ICP CR
26,,0.05,,0.13,,0.0009,0.001,,NA,,0.0012,0.002,,0.0178,,0.0006,0.0013,,-0.0003,,0.0149,0.0246,,0.0005,,0.0001,,NA,,0.0028,0.0053,,0.0001,,0.0017,
27,,0.33,,0.85,,0.0236,0.0097,,0.0008,,0.0013,0.0021,,0.08,,0.0014,0.001,,0.0096,,0.0177,0.0041,,0.0008,,0.005,,NA,,0.0008,0.002,,0.0004,,0.0008,
28,,0.27,,0.98,,0.0086,0.0064,,0.0024,,0.0004,0.0027,,0.0744,,0.0018,0.0026,,0.0204,,0.0532,0.0476,,0.0022,,0.0006,,NA,,0.0108,0.0154,,0.0004,,0.0046,
29,,0.16,,0.87,,0.0101,0.0117,,NA,,0.0045,0.0065,,0.1174,,0.0005,0.0003,,0.004,,0.0422,0.0458,,0.0006,,0.0001,,NA,,0.0018,0.0028,,0.0003,,0.0017,
30,,0.07,,0.4,,0.003,0.0064,,0.0008,,0.0006,0.0008,,0.0359,,0.0012,0.0013,,0.0016,,0.0055,0.0032,,< LD,,0.0004,,NA,,0.0016,0.0017,,0.0003,,0.0013,
31,,,,,,,0.0123,,,,,0.0045,,,,,0.0002,,,,,0.012,,,,,,,,,0.0017,,0.0001,,0.0017,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Ti y Mn,0.06,,0.17,,0.0037,0.0002,,NA,,0.0001,0.0017,,0.0389,,-0.0001,0.0003,,0.0008,,0.0021,-0.001,,< LD,,< LD,,NA,,0.0001,0.0001,,0.0001,,0.0003,
34,,0.18,,0.86,,0.0065,0.0103,,0.0011,,0.0034,0.0039,,0.1019,,0.0023,0.0041,,0.0065,,0.0495,0.0391,,0.0011,,0.0003,,NA,,0.0046,0.0052,,0.0005,,0.0012,
35,,0.22,,1.07,,0.0094,0.0081,,0.0028,,0.0038,0.0026,,0.1272,,0.0017,0.0023,,0.0054,,0.053,0.0522,,0.0015,,0.0003,,NA,,0.0044,0.0063,,0.0004,,0.0025,
36,,0.12,,0.43,,0.0093,0.0087,,NA,,0.0034,0.0043,,0.0767,,0.0008,0.0015,,0.0006,,0.0181,0.021,,0.0005,,< LD,,NA,,0.0005,0.0013,,0.0004,,0.0004,
