,Ag,Al,As,Ba,Ca,Cd,Cl,Co,Cr,Cu,EC,ECPk1 C,ECPk2 C,ECPk3 C,ECPk4 C,ECPk5 C,ECPk6 C,Fe,K,Mg,Mn,Mo,NH4,NO3,Na no sol,Na sol,Ni,OC,OCPk1 C,OCPk2 C,OCPk3 C,OCPk4 C,OCPk5 C,PM2.5,Pb,Pyrol C,SO4,Sb,Se,TC,Ti,V,Zn,temp,pres,rh,ws,VentCoef
count,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,0.0005342443369437036,0.1801380219087732,0.0004257420261535612,0.0062045719735607545,0.31494003370266266,0.00039284352530904803,0.2659034929385422,0.00018529832631448303,0.0015688429474566407,0.010193146639695788,0.9739622,0.1357245365164375,0.7260662662405893,1.1123883120943705,0.2821286388829239,0.02003934671690162,0.020204354365520812,0.1339326587936267,0.3989265438437129,0.13838337759383154,0.0035678749503476642,0.0005417401506389505,0.3248256081101038,0.6904652287156213,1.7529057075953285,0.3487518000429804,0.013761961009142431,4.9823249999999994,1.7785099853049462,1.4001896066156447,0.542507624042323,0.8677284025535619,0.011964184430491864,17.47435011265146,0.013180099666413305,1.3024720115884323,0.6305191827736911,0.002175598545826878,0.0002972306854140806,5.956287200000002,0.0074517742675510425,0.0013967572787078994,0.04029396231256892,19.4185,1013.1245833333335,64.56963556371164,2.281156102955016,2384.9722420723824
std,0.0011401775815249595,0.0969167939947627,0.0002688080691215749,0.0045348372084003845,0.2370620117691177,0.0009227592677897205,0.2665798560356638,0.00016521511210188368,0.0014933923113106824,0.015150991302479992,0.44077069719322537,0.10434639900701803,0.7078721135095861,0.6769953239960695,0.21171877526036229,0.008941446579388055,0.007108268647249361,0.07160960562109442,0.3726599582169749,0.08626203043866039,0.0019283797669584714,0.0007490218028644133,0.6838295429436628,0.9304327129908379,1.614456502055305,0.1575255695280762,0.02456076557206383,2.4440970256982992,0.6126508840421908,0.5455746906172254,0.18350587986172312,0.23691844453681538,0.007890112243285265,7.624935641869919,0.019309413255822812,1.1098135944955674,0.6048414467161788,0.0020853408653557564,0.0005355377106950142,2.684244464785854,0.004346630180508717,0.0013844263632297083,0.033212258053131376,8.672197812491934,6.012121521042496,14.140526294367644,0.8497698354228106,1584.7845882196125
min,1.478024019054256e-05,0.0003376340476784626,0.00010551063989951956,0.00011606170388947152,0.025,0.00011184127829349074,0.0884678305730369,8.440851191961566e-05,8.440851191961565e-05,0.00010129021430353877,0.31728,0.013456352830810219,0.05308242278599776,0.2723752034380923,0.058063717075598924,0.0023597964887419266,0.004189303148151433,0.0006330638393971174,0.025,0.01,0.0006184532378823817,4.412416385270198e-05,0.010551063989951958,0.1304873430482059,0.0011731736804694859,0.18400239800109547,0.00010340042710152916,1.42586,0.8088665519875793,0.5718680607439394,0.2566371897317461,0.4636073023283978,0.0012859565922117488,4.1928503344453,0.0005684184627323092,0.007351973880858437,0.07104563219130983,0.0001691274794594586,2.302291539125078e-05,1.7856,0.0004642468155578861,1.2450255508143309e-05,5.6975745545740564e-05,7.55,1000.5416666666666,32.083333333333336,0.6916666666666668,248.225
25%,3.3763404767846256e-05,0.11510958266749857,0.0002404214270106252,0.0029638338790836834,0.10198889574994098,0.00011184127829349074,0.1425506298047075,8.440851191961566e-05,0.0005654453236524797,0.0026850487548731035,0.6699474999999999,0.06859043442686953,0.2991475460079524,0.6826643410319191,0.1496445520656687,0.013931009528098877,0.01462141885509764,0.08332102445844884,0.2270319236670051,0.07207064195160734,0.0020290450597288587,0.00017952742863209018,0.0781095962244023,0.34235457762262134,0.44652801504658346,0.27697948142663964,0.001068930153521447,3.381205,1.3577942862803445,1.0023978847401145,0.41021742740571066,0.6795806110186934,0.006552019734027014,12.170258631026151,0.003478173744237194,0.5684646580584269,0.3170699161898085,0.000825304592027724,2.5322553575884692e-05,4.19013,0.004710188868477039,0.000467934347709523,0.016709259184751666,13.955,1009.0,55.46874999999999,1.7229166666666669,1262.7017045454547
50%,3.3763404767846256e-05,0.1800101791155134,0.0003473177539136433,0.0049576161549156565,0.27745739355280147,0.0002209729752579033,0.1850243587329726,0.00013946868912654095,0.0012711263487675672,0.004854230992469698,0.91925,0.11438878935350462,0.5328615793833679,0.9291384471190185,0.20231525622990765,0.01857428070110497,0.019015059568582772,0.12601078999152826,0.29028973384125945,0.13374847859169262,0.003331881905731242,0.000425381596618509,0.1325415783846312,0.4470730906890836,1.3231877608133278,0.3006434053279399,0.00269569666612362,4.33162,1.6135801088316202,1.2812311211901857,0.507769975454538,0.8290687224166855,0.009268182175915043,16.0910947712582,0.008082498843543437,1.0188484676481973,0.4962055027675793,0.0014665018860132311,2.5322553575884692e-05,5.295495000000001,0.006684992797838317,0.0010848217417244743,0.0332539675345758,17.925,1012.1666666666666,64.29166666666666,2.122916666666667,1904.8279166666666
75%,0.0001253486741206075,0.23695039599520484,0.000570069143357689,0.008967786680549978,0.5115506888100954,0.0003576104850835539,0.28577038060010274,0.00022267990644176945,0.002039754310426068,0.011043186010523079,1.1859199999999999,0.17225321492042053,0.9058472687505363,1.3128034814505347,0.3299769139615223,0.024726611728637778,0.025577707621884223,0.17690047705452389,0.39276425272020243,0.19626745863410733,0.0046037951494604535,0.0006384477886084829,0.24836469121803176,0.6128224289392036,2.8179536711184734,0.3508619843626586,0.01345282754304656,6.144335,2.1366672169688776,1.5982317578142,0.62354624332071,0.993387257196273,0.014193220988279676,21.3288563437259,0.01468292858191523,1.535714126542903,0.6992746409140231,0.002700691766644285,0.0003220044913449466,7.12546,0.009334936464114029,0.001827236098155328,0.05700781456233907,22.965000000000003,1017.3541666666667,75.08333333333333,2.9375,3162.747214673913
max,0.005918002846136866,0.5334354867218173,0.0015347141634996179,0.02179018979170187,0.8702935499665567,0.009092849722364547,2.302680798004988,0.0011433236784506781,0.010934445257059538,0.08110302568052605,2.34796,0.7075050515488249,5.033955136762976,3.6084919564432036,0.9845340817571647,0.06034880307165712,0.04196647012838403,0.4232430787996854,2.2518108098651926,0.38347983823608434,0.009003619993485814,0.006918825962451585,4.987652288442542,6.982666666666666,8.73738134895223,1.1356304285577932,0.14351948721014837,16.76009,4.007742939513851,3.8401158575346503,1.3329369046378736,1.5060729238076096,0.03803236879978415,51.4232284294017,0.13530873512952063,7.2671779175596605,4.78238341968912,0.010661220737526381,0.0021527386578055843,18.13223,0.026621981617040925,0.0068027107998150415,0.1449962743623615,84.54,1027.5416666666667,94.41666666666669,4.666666666666667,6923.066666666667
