,Ag,Al,As,Ba,Ca,Cd,Cl,Co,Cr,Cu,EC,ECPk1 C,ECPk2 C,ECPk3 C,ECPk4 C,ECPk5 C,ECPk6 C,Fe,K,Mg,Mn,Mo,NH4,NO3,Na no sol,Na sol,Na total,Ni,OC,OCPk1 C,OCPk2 C,OCPk3 C,OCPk4 C,OCPk5 C,PM2.5,Pb,Pyrol C,SO4,Sb,Se,TC,Ti,V,Zn,ws,temp,rh,pres,blh
count,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,99.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,0.0005747729603924175,0.1893538886732251,0.00033722880944364765,0.0056182347705230114,0.33271232822883995,0.00029335865007355355,0.26331687304614415,0.00011131007404559145,0.00123004857106007,0.010864189210936768,0.9739622,0.1357245365164375,0.7260662662405892,1.11238831209437,0.28212863888292394,0.02003934671690162,0.020204354365520805,0.13315116312540523,0.34597129233502444,0.14052794913157282,0.003542991738496851,0.00042041314462641226,0.29298825871837875,0.6557410381902982,1.752905707595328,0.36246312767607775,2.078710492705748,0.013854068629747371,4.9823249999999994,1.7785099853049462,1.4001896066156445,0.542507624042323,0.867728402553562,0.011964184430491869,17.47435011265146,0.013051153450591888,1.302472011588432,0.6200376603223087,0.0021337748638100558,0.0003122838697257814,5.956287200000002,0.007677382475426824,0.0014506204252527335,0.03789590751401714,2.2562,19.4017,64.8036,1013.0859999999999,503.5981
std,0.0012421606478413253,0.1018319674563917,0.0002660072529304611,0.002871617733032831,0.20190852205084198,0.0009251105478482137,0.15867986714149618,0.0001657112657391171,0.0014169929196825768,0.016116361957055726,0.44077069719322537,0.10434639900701807,0.7078721135095862,0.6769953239960694,0.21171877526036229,0.00894144657938805,0.007108268647249357,0.07526290689730697,0.42077765132539946,0.08430909081071246,0.001956580050402315,0.0007011739316126952,0.4444001345985477,0.5772909244118901,1.6144565020553046,0.08799671536118917,1.6601884778191025,0.025849360330177516,2.4440970256982992,0.612650884042191,0.5455746906172255,0.18350587986172312,0.23691844453681554,0.007890112243285265,7.624935641869919,0.019393618195900714,1.1098135944955676,0.340846624368473,0.0021026853600575285,0.0005931478840310369,2.684244464785854,0.0047319436842750045,0.0013257563594548348,0.032496868007768485,0.8609458974777907,8.700099970980247,13.773790696152389,6.258502095937054,193.5022475201346
min,0.0,0.0,0.0,0.00109702643303591,0.0,0.0,0.100428448456431,0.0,0.0,0.0,0.31728,0.0134563528308102,0.0530824227859978,0.272375203438092,0.0580637170755989,0.00235979648874193,0.00418930314815143,0.0107516536888051,0.0,0.0,0.000280708685462898,7.19730171664498e-05,0.0180245912851793,0.148128888440579,0.00117317368046949,0.208879037994006,0.05,0.0,1.42586,0.808866551987579,0.571868060743939,0.256637189731746,0.463607302328398,0.00128595659221175,4.1928503344453,0.000315836440219437,0.00735197388085844,0.0806508147013853,0.000208157755618513,0.0,1.7856,0.000549644305095243,8.90278157979692e-05,0.0,0.69,6.28,32.08,1000.54,151.81
25%,0.0,0.11626805562462925,0.00015399064421778825,0.0035599755358406825,0.19340382666879374,0.0,0.161823099821068,0.0,0.00036089409321414577,0.0024954872185880073,0.6699474999999999,0.06859043442686949,0.29914754600795224,0.682664341031919,0.149644552065669,0.013931009528098875,0.01462141885509765,0.07829043618913215,0.134374718094543,0.0855652026600886,0.002063434377837645,0.00019729958716739425,0.09181426685419347,0.3886400155841015,0.44652801504658324,0.3043817632572035,0.7904538093182875,0.0,3.381205,1.357794286280345,1.002397884740114,0.41021742740571077,0.6795806110186933,0.00655201973402701,12.170258631026151,0.0032198061854759076,0.5684646580584267,0.359936934464154,0.0008450036267744019,0.0,4.19013,0.004258230119678735,0.000598289405850082,0.008813962673325695,1.65,13.955,56.105000000000004,1008.9475,382.69
50%,2.150796628238565e-05,0.181051772966392,0.000260507819734205,0.00527565251047739,0.32142616855212003,0.000133976350248746,0.209039736114685,8.48047907633976e-05,0.0007993312806401105,0.00481493086531113,0.91925,0.1143887893535045,0.532861579383368,0.9291384471190185,0.2023152562299075,0.01857428070110495,0.0190150595685828,0.12484255983374799,0.185002678456751,0.1354341734030595,0.00316831044419371,0.000267876464656143,0.14726349404036249,0.496759755785713,1.3231877608133251,0.339203484742436,1.81126058348274,0.0016530998511367551,4.33162,1.6135801088316248,1.281231121190185,0.507769975454538,0.8290687224166855,0.009268182175915046,16.0910947712582,0.007870511564006465,1.018848467648195,0.563133348547323,0.00138330020249492,0.0,5.295495000000001,0.006799275368062995,0.00108785559947303,0.0343614155469463,2.0949999999999998,17.925,63.855000000000004,1012.105,491.525
75%,9.899518090370003e-05,0.25302649271656774,0.000471291472834179,0.0069709919601317226,0.44194336605378876,0.0002623088833139805,0.31490780220730097,0.00014708407052303648,0.0017385385050075076,0.010757046369922401,1.1859199999999999,0.17225321492042026,0.9058472687505368,1.3128034814505325,0.32997691396152223,0.02472661172863775,0.0255777076218842,0.16777990228998074,0.3158399002547455,0.20622944250378525,0.004615153647048735,0.00040320978025285226,0.2697550231133655,0.6693685586439786,2.8179536711184725,0.380339204481505,3.1660733214275973,0.0132932626263986,6.144335,2.1366672169688803,1.5982317578141976,0.6235462433207097,0.9933872571962735,0.014193220988279649,21.3288563437259,0.01451079727281505,1.5357141265429026,0.778725154861161,0.00261632373112708,0.0004270602664037505,7.12546,0.010022110184775574,0.0017558726291790076,0.05216753579386735,2.885,22.965000000000003,75.08,1017.3525,599.6525
max,0.00618412966718011,0.573693974899553,0.00144634705565602,0.0147233682778726,0.877670524272852,0.00900172463092423,1.03491229917552,0.00107264984576083,0.0108659641904034,0.084061859667365,2.34796,0.707505051548825,5.03395513676298,3.6084919564432,0.984534081757165,0.0603488030716571,0.041966470128384,0.424201165575185,2.33978166914012,0.388017068370521,0.00903593887272342,0.0066620884946396,2.94100604242095,3.87171720733282,8.73738134895223,0.655686132513012,9.13014323485209,0.147321731543954,16.76009,4.00774293951385,3.84011585753465,1.33293690463787,1.50607292380761,0.0380323687997841,51.4232284294017,0.135294272130972,7.26717791755966,1.86080589720548,0.0105723422459569,0.00244472633848151,18.13223,0.0275797311064176,0.00681013495167728,0.124881087000004,4.67,84.54,94.42,1033.04,1102.4
