,Ag,Al,As,Ba,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,Pb,Sb,Se,Ti,V,Zn
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,4.85640170007917,0.978992249754495,141.52989684768218,5.024380304829193,4.615950890363701,1.752955622269719,4.65903214727107,17.613934902557066,198.96995810028199,1.6371996603010661,5.312705192641618,4.859387396908508,2.6133370001453797,145.8907845341728,50.70493158026212,248.36480371823305,380.325067841891,5696.474428964861,12.602962149450486,1.0,13.11341454342627,245.17377653634452
std,12.98850564426263,0.33855955135798216,197.66182933192852,3.5551374045174056,2.3801119976049114,7.026800933766941,7.637174624490245,27.230183898720654,248.32352799428867,0.769166138634606,4.636768142049377,2.999385448630114,1.4062527847116588,247.99774164110838,75.83298718890515,472.92584163152736,624.3010491763987,6633.419639391616,24.448210921539918,0.0,13.94968602552707,257.1993216936665
min,0.0,0.0,0.0,1.2636752560865265,0.0,0.0,0.0,0.0,0.0,0.6078318334030335,0.0,0.0,1.0033767417253172,10.300021732019038,0.8200282106598894,0.0,6.425221186568612,392.8466353048967,0.0,1.0,0.864671585700937,0.0
25%,0.0,0.7855480255838232,38.83590259847892,2.9148283530035464,2.95406512962769,0.0,0.0,3.5655995448965943,37.628365186544016,1.201953959933401,1.9476833729790817,2.6051187786399375,1.772466237892595,54.15410992273401,9.637311245804547,0.0,62.49489215916861,1654.6286537937015,0.0,1.0,3.665839649112877,56.15234932437173
50%,0.26834137446439255,0.9988731854824893,75.56648916438269,3.9577184509835277,4.699884416542521,0.5136855122986925,2.4492554009413254,10.90384005034663,108.39575656998639,1.519995197312225,3.6093234829666847,4.924581582614671,2.1540693764871084,84.8728154021746,19.482173132869207,43.050501927736704,157.29544716509363,3349.766107167973,0.0,1.0,8.327817476124599,194.40406663557008
75%,1.2151948634158103,1.1149119915349088,148.14104830716818,6.013237824562324,6.182091415816419,1.2961077130043195,6.30882309522444,21.966002161901795,218.53387945352515,1.7922123987997445,6.564842452136495,6.700232064610404,2.9373409135034105,147.0333439496078,68.92235405862269,189.4027753002795,449.10152614046626,6725.595072316368,15.544095623135705,1.0,16.678735666985865,338.773672481213
max,97.43617673374315,2.1262508729766645,1125.0228385816606,26.163505320537933,10.62108860090662,68.19697024780854,48.72286995597399,237.82714129069322,1114.5543928181514,6.016116708933284,20.326231614927696,14.124725395905237,8.484755337121898,2040.095393464011,482.1798664662533,2229.575991376443,3888.693529606721,36098.35199891563,119.43773276880661,1.0,72.54207642851648,1565.6089967212713
