,Al,As,Ba,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,Pb,Sb,Ti,V,Zn
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,1.7106022978565485,246.63973600147452,13.025817826914954,6.502581724750289,1902.493224765723,7.108107851741411,13.894912977002102,150.19473638372253,1.9087438439742233,15.620184339447169,5.247440261236222,3.143661025500358,363.4633033413197,91.77327135159838,150.28638684733977,1020.0463999897039,9964.997208668301,1.0,10.069650755426057,535.0644464742193
std,0.5963636909246818,251.48443067998332,10.846292759863953,5.231194954057151,4565.203429406727,8.453286757506955,12.794427327108245,198.68396974735467,0.6987788647593449,10.963836740428214,3.439622496300165,1.5590441028481905,573.4263654993381,100.50169821016213,281.61182170254546,1402.716246248436,9370.08027881288,0.0,12.204938931780315,555.2837067646722
min,0.007227170923030493,30.858019618025075,0.43869683314174035,0.27625877633130486,144.49469260283698,1.3726119168182225,0.4240558901888439,0.986517043795377,0.13805909898272237,2.3858839727010523,0.24712881374634624,1.2381012190709444,18.230089612193833,2.292641271152182,0.35623848742334513,39.04490074437762,1073.956119991885,1.0,0.05812971061657557,0.4089110369678137
25%,1.374777249854456,98.9267290209657,4.887752891162446,2.1609388793264226,592.6992253697263,3.3606927648197917,4.583547497570354,38.05469513053044,1.5292395890713415,8.354466192297833,2.457733477705216,2.1393839718620695,106.27866706104115,25.78421282346568,15.309223078226601,215.96492975731735,3585.5053037576076,1.0,2.6217053131991666,189.23024298579452
50%,1.7874809892683436,179.91306310695563,7.996069656387116,4.607810563161797,990.3937707681573,5.090450557920198,10.913571413631946,79.2710085979038,1.7510196451370321,12.4723156690077,4.780016820954835,2.5809517212049453,270.3305340155348,53.10375553146649,34.43127144037754,532.8068071303218,6684.1241780775,1.0,5.350025223712224,381.6619922016255
75%,2.0511072550464178,289.50924251860613,21.232663437315388,10.163166974220841,1920.105121746109,7.599126042367568,19.659676518185055,152.53722314805972,2.2389368562730265,19.588425142727463,7.471492638387328,3.8040864977504105,387.99531653982905,129.87426404036393,114.91684693998592,1139.5546712236915,11640.734358563801,1.0,14.269065980703079,706.8507281536507
max,3.361854994553929,1841.4001919285374,56.84552639628228,18.81874944703589,44533.70469097274,74.87739946948058,69.91643010151707,1062.0536763109892,4.8411986590682625,54.500075016745434,14.51262362814664,11.639855046011984,4880.889677069958,473.08367417030684,1541.6035907673813,8755.83880864697,45841.84705890389,1.0,75.66688976408074,3430.9516234277953
