date,Ag,Al,As,Ba,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,Pb,Sb,Se,Ti,V,Zn
2019-04-03,0.02906163522921895,0.1535667507156841,0.11403743446978946,0.5549451430038528,0.38394785491814737,0.0018501991919078037,0.9689397855760494,2.718412638201262,4.1917953587114,0.22830210388404276,0.3144866568100246,1.0,0.3194610900707959,9.529511390716584,3.712136279565339,2.290954245037142,6.9591609000508665,202.08110275761302,0.0,0.14919310826971874,1.0862370873957004,4.256705632050376
2019-04-06,0.086846657946101,0.25942807884929403,25.78630344912572,0.7569666653658103,0.8422386383950677,0.1345563875625024,0.71258336450317,3.457843542564403,18.974434791171298,0.21721003565452593,1.3093984090540867,1.0,0.32726423268917637,12.161140044183377,10.212291299595462,3.3271558110658335,72.00874773961554,719.9346282114191,0.0,0.12731562137012084,1.7301161701994279,9.105503319642015
2019-04-09,0.0,0.21237965796276914,7.695706659276708,1.3217733663387021,0.6714048169779959,0.002194537540574832,0.7406780721141897,4.391818998132153,7.427071559642925,0.2965924099903285,0.4447902202615135,1.0,0.47486888508295544,13.697467504728461,9.433483060281171,3.6732533642614307,8.961585586492287,187.66895063582368,0.0,0.19203282690345638,2.533480998285719,7.579268582171242
2019-04-12,0.0,0.20043203268325988,0.28664855279625134,1.4598263099032365,1.8166946968809414,0.004650726519857545,1.3493235336646296,6.069932928371951,11.336445938088122,0.335696121235683,0.6142839267165957,1.0,0.4970519809315873,57.503952287120384,19.16877762622232,4.1448900399160005,21.321027669119964,636.6353872289375,0.0,0.19337760315162217,3.2717273885065183,0.0
2019-04-15,0.1104595392456162,0.21999912191364676,38.00181481199313,1.7186472478471224,1.4666629752277915,0.44323013586550447,2.2002705037011983,8.875392295988053,25.324967590753392,0.350704397610087,0.4452133475801301,1.0,0.41161996617904095,25.01659408592076,10.745809358025706,6.718994163971101,318.2717953562482,1553.9884708449936,0.0,0.23213183957389275,1.5747215342979233,113.47693225291376
2019-04-18,0.0428864258674346,0.1765002613370015,22.18483270405582,0.7794432769063835,1.3723976913605198,0.002730349818855452,0.020194285452666737,0.5380027111221216,24.050563570262543,0.22575033116417043,0.809309116183954,1.0,0.7720583139849726,15.603540821651285,10.749746334439621,8.116060974893962,20.118914942873797,1083.2160596828844,0.0,0.15884995715326078,2.0175864962674805,8.419370238001873
2019-04-21,0.17117551152310284,0.1999552812622007,57.133006355656796,1.3629361005031722,0.7660417435606414,0.6744630054600819,1.7003662463466107,7.187808712914827,43.14179341812433,0.40220408166514326,0.9705544345450552,1.0,0.43886301011473083,19.59855201192484,11.374238099382534,11.219135845287333,455.75961502964856,3492.868404113813,3.2532845680769236,0.18919193325333147,0.8645935922146667,31.175181526585362
2019-04-24,0.10913676194840391,0.30837329038185995,0.5819786165193677,1.0911806230654615,1.5457890330914807,0.009442306125161188,1.374834500342902,1.0116162416782462,12.43129080737826,0.3934130113234987,0.5570402644872998,1.0,0.5100266617689757,14.01026143708002,10.606573854248497,25.758876134781172,9.063117502166401,261.6646950896711,0.0,0.2863765317224955,3.9032191873142366,10.007497626367726
2019-04-27,0.09742262698544586,0.17919471765509348,133.0741782902028,1.6491659608205484,0.6227442853721641,0.006202378644570566,0.045874196767389894,4.515696611821174,56.81181052557266,0.2961500731649525,1.098192278526988,1.0,0.3124202673873143,21.2352151320105,24.921709581209218,0.0,94.22583034026414,4269.920898621395,0.0,0.1182857571655809,1.1044168928480986,13.658189533249494
2019-04-30,0.03244969513988719,0.18404075937432215,13.224851976127663,0.9238973404809414,0.4824965800645387,0.0020658988818740174,0.015279855881030424,1.0524665867897196,18.58657718270055,0.3731340878845414,0.5049932796041985,1.0,0.33082981322329325,17.510287128233777,9.239729545918372,0.0,11.355353724205461,701.9226515701758,0.0,0.1699396009718723,0.9744562567989302,0.0
2019-05-03,0.0653013024746185,0.3911321184670767,44.5976761712473,2.7273718815632964,1.3326303519486087,0.23571379149623414,1.2817146209015917,3.5298851525102055,43.96522610292293,0.8074763724998574,1.1452256474866127,1.0,1.0545375385392823,24.204898545828584,19.019033561477436,0.0,62.28366403393378,2290.1499892640977,0.0,0.4510374208729159,5.204684789681863,14.788571261698731
2019-05-06,0.21891263900020924,0.26588995918017144,43.54085026247816,2.0539695156862816,1.4718946471007868,14.553622830810811,2.3181868622570243,8.618488436212175,29.86728486733163,0.5142506407272709,0.878506657291883,1.0,0.5651763648648355,42.607161641463115,19.20020156210094,1.9451620159169618,109.37702604304538,1383.0573167434006,9.64779845909295,0.2134057096367633,6.340314005537634,77.53728687643797
2019-05-12,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,,inf,inf,,inf,inf,inf
2019-05-15,0.0,0.09725060238444902,11.787603391963954,2.944599875291597,0.45334952631250014,0.30840073303259113,0.0,2.053753725104736,39.900007580700034,0.677090332271288,0.5484214195505801,1.0,0.8154347485599719,30.8470821550234,36.79304355599672,0.0,50.32020344939329,660.2129864100837,0.0,0.11254607665205067,4.7396262613544655,60.88890887135097
2019-05-18,0.0,0.1624845045670209,26.518761966693386,0.4510337433700901,0.7048096938039025,0.002855339526706684,0.021118737631490907,0.0,13.149355539154337,0.10320285633690182,0.5571599016466803,1.0,0.1913547927744684,11.043096608640125,28.43646575540519,0.0,45.30647191383888,796.2365483972773,0.0,0.09955641989870334,0.26670568122382315,0.0
