date,Ag,Al,As,Ba,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,Pb,Sb,Se,Ti,V,Zn
2019-04-03,0.19479207562778225,1.029315311522691,0.7643612750773107,3.7196432827218486,2.5734959166078055,0.012401371707886947,6.494534478257212,18.22076548795257,28.09644096383637,1.5302456429241147,2.1079167828682803,6.702722475572733,2.1412590284884887,63.87367017978243,24.88141927343155,15.355630508719214,46.645324175897926,1354.493549341976,0.0,1.0,7.280745739487826,28.5315165118411
2019-04-06,0.6821367009915305,2.03767672856976,202.53840943965582,5.945591414624786,6.615359759715467,1.0568725668889594,5.5969829690546,27.159617220200047,149.0346163885929,1.706075290031158,10.284664167388526,7.854495695330957,2.570495506892924,95.51962212735526,80.21239805213834,26.13313099571197,565.592399146983,5654.723438206284,0.0,1.0,13.58919001125389,71.51913662794995
2019-04-09,0.0,1.1059549629477778,40.07495376374212,6.8830594625533355,3.496302313539038,0.011427929151291026,3.8570388410027534,22.870147093861817,38.67605179491969,1.5444880689041722,2.316219718439753,5.207442998809498,2.472852650977708,71.32878125891882,49.12432531664918,19.128257514576617,46.666946120611364,977.2753630824452,0.0,1.0,13.192957887139864,39.46860911432443
2019-04-12,0.0,1.0364800753379206,1.4823255026669142,7.549097134887054,9.394545527883704,0.024049974992248906,6.977661899173823,31.389017287657044,58.62336565005163,1.735961744093357,3.176603271036265,5.171229675527248,2.5703699540730276,297.3661445272599,99.12615170430364,21.434178376210944,110.2559309952907,3292.187806929063,0.0,1.0,16.918853761680175,0.0
2019-04-15,0.47584829142085217,0.94773350488017,163.7078949692996,7.403754913595294,6.318232681565943,1.9093896670060828,9.47853817787371,38.234273731169125,109.097345875691,1.5107983387968196,1.9179331383293876,4.307896761752399,1.7732163193753225,107.76890465281228,46.291837335847575,28.944733201204375,1371.082036572304,6694.421901353711,0.0,1.0,6.783737798263793,488.84690898592356
2019-04-18,0.26998072039803667,1.111113055993534,139.65904115826467,4.906789343067718,8.639584901092611,0.017188231383790494,0.12712805098954477,3.386860914309525,151.4042811296336,1.4211544983066207,5.094802231536774,6.295248786470779,4.860299164198573,98.22817142214751,67.67232756674973,51.09262300312407,126.6535748792351,6819.114585204337,0.0,1.0,12.70120894222769,53.00203027362948
2019-04-21,0.9047717235062854,1.0568911571639625,301.9843677962456,7.2039863278852145,4.049019059046758,3.5649670356556036,8.98751980122635,37.99215214578002,228.03188632972353,2.125905025382793,5.129999032492917,5.2856376210341995,2.3196708367427337,103.59084383202543,60.12010080869686,59.30028649934406,2408.9801673487746,18462.036642105657,17.195683304957385,1.0,4.5699284179149435,164.78071231949
2019-04-24,0.3810953407807857,1.076810618967478,2.03221476640871,3.8103004338457356,5.3977503805702245,0.03297164774071281,4.800793179781728,3.532469073473249,43.408902023523446,1.3737613517322842,1.9451323791681463,3.491906246595024,1.7809652861610936,48.92251942856911,37.03716149662179,89.94758048030987,31.647556619439545,913.708583297005,0.0,1.0,13.629675462012136,34.945243474298344
2019-04-27,0.8236209440589704,1.5149306387264354,1125.0228385816606,13.942219252246772,5.264744465391746,0.052435549242739694,0.3878251943991316,38.176165246166796,480.2929100419532,2.503683285810906,9.284230873119379,8.454103215488253,2.641233187102793,179.52470052911477,210.69070510596524,0.0,796.5948952616776,36098.35199891563,0.0,1.0,9.336854405066655,115.46774405079255
2019-04-30,0.1909484013985541,1.0829774715358065,77.82089578000473,5.436621806790408,2.8392239201762015,0.012156665486203868,0.08991345038852645,6.1931802874123445,109.37166544116415,2.195686501266418,2.971604480157528,5.884443615738015,1.946749382317608,103.0382973014748,54.37066753762529,0.0,66.81993872684774,4130.4242657740215,0.0,1.0,5.734132899136429,0.0
2019-05-03,0.14478023208858712,0.8671832986941497,98.87799572136417,6.046886035054196,2.954589331788704,0.5226036257480481,2.841703507485086,7.826146987269123,97.47578375611224,1.7902646989624655,2.5390923113878197,2.21711093963035,2.3380267129463044,53.6649453585993,42.1673073703484,0.0,138.08979288989596,5077.516594591759,0.0,1.0,11.539363584531346,32.78790312581527
2019-05-06,1.0258049766935444,1.2459364823590768,204.0285160907307,9.624716785611465,6.897166198627444,68.19697024780854,10.862815555416944,40.385463214089526,139.95541599223645,2.4097323431625806,4.1166033410595455,4.685910239712398,2.648365715363563,199.65333502081336,89.9704211043908,9.114854608284903,512.5309263243961,6480.882442637055,45.20871759014516,1.0,29.710142321540726,363.3327665338185
2019-05-12,0.6864653895022971,0.27396029831283714,919.6108451674125,6.949450781739376,0.46931052866066947,4.017985427312292,0.32324162595960126,12.359125377763549,320.1089214079014,3.622050357359815,8.520776908057249,0.0,7.684755337827689,204.538718670171,290.50922385614774,0.0,1956.0214121395422,10746.216236068138,0.0,1.0,62.30026899357939,405.16679763855217
2019-05-15,0.0,0.8640958910110267,104.73580015060593,26.163505320537933,4.028123767602162,2.7402175376228177,0.0,18.248114782838282,354.52153258132284,6.016116708933284,4.872861283704174,8.885249755010268,7.245341399869349,274.08402916070327,326.91538124200196,0.0,447.1075753707886,5866.157275754794,0.0,1.0,42.11276307754,541.0131626320139
2019-05-18,0.0,1.6320846484068594,266.3691803469399,4.5304335353662575,7.079500192162719,0.028680616776014398,0.2121283353999551,0.0,132.07943347634983,1.0366268337281381,5.596423638109719,10.044555650127634,1.9220738649417894,110.92299843522152,285.6316627731163,0.0,455.0833784494993,7997.842321042,0.0,1.0,2.678940057257893,0.0
