CL# YR MO DA HR 
4  19 10 10  3   
4  19 10 27 15   
4  19 10 27 21   
4  19 10 28  3   
4  19 10 28  9   
4  19 11 18  3   
4  19 11 18  9   
4  19 11 20 15   
4  19 11 20 21   
4  19 11 21  3   
4  19 11 21  9   
4  19 12 11 15   
4  19 12 11 21   
4  19 12 12  3   
4  19 12 15  9   
4  19 12 20 15   
4  19 12 20 21   
4  19 12 26 15   
4  19 12 27  3   
4  19 12 27  9   
4  20  1 10 15   
4  20  1 19 15   
4  20  1 19 21   
4  20  1 20  3   
4  20  1 20  9   
4  20  1 21 15   
4  20  1 21 21   
4  20  1 22  3   
4  20  1 22  9   
4  20  1 22 15   
4  20  1 22 21   
4  20  1 23  3   
4  20  1 23  9   
4  20  2  3 15   
4  20  2  3 21   
4  20  2  4  3   
4  20  2  4  9   
4  20  2  6 15   
4  20  2  6 21   
4  20  2  7  3   
4  20  2  7  9   
4  20  2 13  9   
4  20  3  1 15   
4  20  3  1 21   
4  20  3  2  3   
4  20  3  2  9   
4  20  3  4 15   
4  20  3  4 21   
4  20  3  5  3   
4  20  3  5  9   
5  19  4 10  3   
5  19  4 24 15   
5  19  4 24 21   
5  19  4 25  3   
5  19  4 25  9   
5  19  4 27 15   
5  19  4 27 21   
5  19  4 28  3   
5  19  4 28  9   
5  19  5 15 15   
5  19  5 15 21   
5  19  5 16  3   
5  19  5 16  9   
5  19  5 31  9   
5  19  6 14 15   
5  19  7 26 15   
5  19  7 26 21   
5  19  7 27  3   
5  19  7 27  9   
5  19  8 22 15   
5  19  8 22 21   
5  19  8 23  3   
5  19  9  6 15   
5  19  9  6 21   
5  19  9  7  3   
5  19  9  7  9   
5  19  9  9 15   
5  19  9  9 21   
5  19  9 10  3   
5  19  9 10  9   
5  19  9 28  3   
5  19  9 28  9   
5  19 10  4  3   
5  19 10  4  9   
5  19 10 16  3   
5  19 10 16  9   
5  19 10 21 15   
5  19 10 21 21   
5  19 10 30 15   
5  19 10 30 21   
5  19 11  9 15   
5  19 11  9 21   
5  19 11 10  3   
5  19 11 10  9   
5  19 11 11 15   
5  19 11 11 21   
5  19 11 12  3   
5  19 11 12  9   
5  19 11 26 15   
5  19 12 21  3   
5  19 12 23 15   
5  19 12 26 21   
5  20  1 14  3   
5  20  1 14  9   
5  20  1 28 21   
5  20  1 29  3   
5  20  1 29  9   
5  20  1 31 15   
5  20  2 12 15   
5  20  2 12 21   
5  20  2 13  3  
