date,NO,NO2,NOx,CO,O3,SO2
2019-04-06,0.008770624999999962,0.01707812499999997,0.025850486111111085,0.3763195833333333,0.006100277777777743,0.003386249999999946
2019-04-09,0.012323108974358963,0.016522644230769188,0.0288468349358974,0.2781492708333333,0.0066592147435897,0.00264405448717945
2019-04-12,0.006314097222222206,0.015217430555555534,0.021530486111111084,0.27950680555555557,0.008387083333333292,0.0024757638888888585
2019-04-15,0.031559097222222186,0.021399374999999967,0.05295916666666662,0.3961625694444444,0.004460069444444412,0.0038304166666666122
2019-04-18,0.014349999999999974,0.016581805555555516,0.030932638888888853,0.42144159722222224,0.009012083333333287,0.0031973611111110584
2019-04-21,0.03374854166666663,0.028687083333333294,0.06243513888888885,0.5523398611111111,0.004889097222222186,0.0031080555555555085
2019-04-24,0.011143194444444409,0.016438263888888867,0.02758041666666662,0.23488319444444442,0.0074738194444444045,0.0027516666666666163
2019-04-27,0.015082222222222183,0.018243888888888858,0.03332701388888885,0.37201715277777775,0.0034196135220951884,0.0024729166666666333
2019-04-30,0.050760208333333307,0.021822013888888853,0.07258249999999997,0.6010628472222223,0.0047572916666666345,0.0034554166666666253
2019-05-03,0.021356249999999962,0.021425763888888862,0.042780972222222186,0.3569257638888889,0.006460208333333298,0.0032996527777777417
2019-05-06,0.026256041666666632,0.02186388888888886,0.04812090277777775,0.34558562499999995,0.0037305058998606468,0.0041700694444444
2019-05-12,0.008255208333333318,0.01707595430107524,0.025329431003584188,0.3141403248207885,0.008595210573476668,0.0032968906810035416
2019-05-15,0.10086326388888887,0.026956180555555525,0.12782090277777775,0.7146744444444444,0.0037009027777777457,0.003124861111111058
2019-06-02,0.0165,0.0195214285714285,0.0360160714285714,0.3342339285714286,0.0067375,0.0029274426986234
2019-06-11,0.01867180555555552,0.017611666666666633,0.03628409722222219,0.33807215277777775,0.0033905555555555195,0.0021283481627246375
2019-06-14,0.010772986111111075,0.014528055555555516,0.025299722222222196,0.2512231944444444,0.005743611111111075,0.0015813181677825125
2019-06-17,0.011310694444444408,0.01180138888888885,0.023110555555555534,0.2515892361111111,0.0035086111111110583,0.0017139409506181835
2019-06-20,0.02676416666666663,0.020256944444444404,0.04701916666666663,0.32415618055555556,0.004426180555555521,0.002270383177898275
2019-06-23,0.02362666603135503,0.01819428737586985,0.04181955655250603,0.4343487956446946,0.003172250811243987,0.002248162491737129
2019-06-26,0.004748472222222191,0.015078472222222193,0.01982534722222219,0.20928076388888886,0.009870069444444395,0.0023544481880140374
