date;PM2,5;Cl;NO3;SO4;Na sol;NH4;Na no sol;Na total;Mg;Al;K;Ca;Ti;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Mo;Ag;Cd;Sb;Ba;Pb;OCPk1 C;OCPk2 C;OCPk3 C;OCPk4 C;OCPk5 C;Pyrol C;ECPk1 C;ECPk2 C;ECPk3 C;ECPk4 C;ECPk5 C;ECPk6 C;C Orgánico;C Elemental;C Total
2019-04-03;21.9913921131111;0.545143654316371;0.520384747962626;0.677219991309738;0.549845228699435;0.176492859632368;1.6948458448067;2.24469107350614;0.278282865132902;0.258337866798209;0.184244732427708;0.24100626119155;0.00936493660767983;0.00136367444613877;0.00199075699361089;0.00401055101248336;0.167190956801897;0.000202736345617566;0.000958696708567399;0.00219267823773122;0.00632363496175324;3.57909744323217E-06;0;0.000299086436066756;3.04035906655426E-05;3.79384328982609E-06;0.000845649748339924;0.00638627431674324;0.00291220335967973;1.55513111997265;1.19128919145763;0.744075191285692;1.38259626471991;0.0107291462731889;0.105811594673611;0.0264448566207966;0.0970449093410648;0.654510195893936;0.510012435155525;0.0289703090367431;0.0192063003854139;4.10799;1.20849;5.31648
2019-04-06;21.0355422315752;0.540589777386757;0.638503532805285;0.584333815387008;0.483757917183732;0.127491539255823;4.20144190186429;4.68519981904803;0.211134265499486;0.331115955862721;0.582018676509116;0.401110006675556;0.00606331357998296;0.00164791040672409;0.00192123488571441;0.00311714406284581;0.120685477202725;0.000113120876144007;0.00105635578702516;0.00753036344530422;0.0102628832054961;0.000614026944211807;0;0.000289582710999817;6.89334787087787E-05;0.000209332893046223;0.00228575742759494;0.00660916394697617;0.0228624271632203;2.1874686959842;1.77511975171957;0.806121851054905;1.35333188777601;0.0298944725443178;1.26471864533991;0.120208968063426;0.34766212669133;1.21384717543062;0.300645940941892;0.025065259048541;0.0311978094279284;6.8735;0.75512;7.62861
2019-04-09;21.5962914846164;0.16589310075028;0.427021775844183;0.386223976483347;0.503884500360568;0.120225163342191;4.39575635544348;4.89964085580405;0.239026455630049;0.30687626270807;0.223824483890565;0.361992888034268;0.0103535923261696;0.0027318901507954;0.00276252876024274;0.00512058164618219;0.186561664544112;0.000133114025819814;0.00132030786810611;0.00333696727558682;0.00967119135999888;0.000207459866879941;0;0.000369254561138686;0;3.86512390578401E-06;0.000674554046651001;0.0130651384658779;0.00322113690160088;2.7637034017061;1.98482797903413;0.820953189042209;1.41451102833935;0.024731581839378;1.21943613311974;0.119524684611251;0.345971145477425;1.51980643732498;0.758073973502175;0.0323204500666051;0.031710630338157;7.58378;1.56568;9.14946
2019-04-12;10.2345622304785;0.0884678305730369;0.280492563098913;0.446125297512742;0.280926922447624;0.239197238987112;2.95820675971298;3.2391336821606;0.0777657296340151;0.0942236209320943;0.100568921607503;0.31866899689893;0.00339206400089389;0.00114779669562767;0.00124219148159047;0.00174377187803808;0.0686990889557939;7.88955857953214E-05;0.000484707365724556;0.00165711840193983;0;2.51407148760169E-06;0;0.000504342496967764;0;2.66491577685779E-06;0.000744487449604392;0.00469462044892529;0.00249330116276111;1.22199701651669;1.00897340546717;0.477281324748169;0.857660120355611;0.00966548959024986;0.44190896874887;0.0287598967912558;0.101318639851086;0.55693714418726;0.396048399769517;0.0234540187971225;0.0156022159487673;3.5732;0.66484;4.23804
2019-04-15;15.0067986299242;0.268703098874945;0.22226517200813;0.458661373482899;0.321492781894039;0.167758172463301;3.03800798969845;3.35950077159249;0.143876350084926;0.191343964127749;0.134854045176675;0.475980712061217;0.00753344702625367;0.0010220985868643;0.00336041855031219;0.0026716862416205;0.132784391281242;0.000238020217497782;0.00145369076173546;0.00684899229882827;0.0871572875961082;0.000616642377265359;0;0.000405935667139672;5.97462982658718E-05;0.000469886673022971;0.00336213818434937;0.0102255624967715;0.068859825941103;2.12548107321322;1.76569338007328;0.735613800842064;1.22504539575843;0.0289396799265576;1.20381953270565;0.0995850394263792;0.380352416765329;1.92963404184149;0.964198191981573;0.0494364876085649;0.033873168082402;6.64469;2.23804;8.88273
2019-04-18;19.1418992974855;0.0965481963065716;0.356022959974865;0.316589049109897;0.301186227732818;0.010551063989952;2.81619388719542;3.11738011492824;0.133458224517821;0.142395119172887;0.227387279435784;0.413137802754883;0.00478191727362544;0.00121472260873529;0.000188949701610875;0.00464830970565369;0.0792848378460008;2.0263860766308E-06;0.00162880464328981;0.00603335622695531;0.0059983480037636;0.000333918990666336;0;0.000234859494840104;2.15170911736202E-05;2.68496155153581E-06;0.00217389612172132;0.00430170779823707;0.00403764611654285;1.98357992940419;1.82533041781224;0.714023989265502;1.06278341326527;0.0264461940143098;1.32046024027487;0.130716772732745;0.317296604934787;1.1668456853122;0.353833282897392;0.0220076686063113;0.0253134420837488;6.48499;0.68007;7.16506
2019-04-21;29.889320057484;0.414108280458723;0.759142366427654;0.48289141845449;0.329651079134572;0.317959998187427;3.47029756748199;3.79994864661657;0.153747906350984;0.185843124133383;0.314148868023085;0.265663114849412;0.00656117224876575;0.00059968175028939;0.00290818563384741;0.00304395198406153;0.162731672320621;0.00019656221835013;0.00259386262748903;0.0124679707035024;0.0255873264043256;0.000990685726772898;0.00041368741369652;0.000339838684888456;9.89393853956233E-05;0.000764085184215536;0.00807550683145867;0.00866554244875153;0.105371558812239;2.95548614411304;2.55311645481637;0.986484139501913;1.13487527865014;0.0325555463329286;2.76654320537778;0.286631148164785;0.634310703625179;2.73416010045152;0.896533307647871;0.0376851290050092;0.0297644637878831;9.98814;1.83729;11.82543
2019-04-24;20.6821496468329;0.11445285074541;0.139952536725387;0.363728173178564;0.309400368479245;0.188475241386543;2.91548392040364;3.22488428888289;0.139924194130002;0.260839871089554;0.164091389697576;0.487879589662377;0.00903857265090567;0.00246385623743326;0.000372498914172763;0.00321947682554161;0.144863154130784;0.000144641059791432;0.00541998493962977;0.00326962095529719;0.00747523788605611;9.18416040421421E-06;0;0.000221094873060233;5.74092987428131E-05;9.73521002846708E-06;0.000550574760792405;0.00631394083706688;0.0019069915981897;1.04248981853759;1.33605148573692;0.615140483114824;0.771898394601144;0.00811762644404993;0.569286896137301;0.0580410344296827;0.133918904900344;0.609315765507894;0.648982349437921;0.0357943522996585;0.0157525840346275;3.90078;0.91722;4.818
2019-04-27;14.1847330373147;0.164407441744938;0.410117144606559;0.290983135714569;0.307732514615705;0.15933900311502;2.85232176122761;3.16005427584331;0.0583539836535172;0.0632120857321273;0.134913461620174;0.0819690447720192;0.00155694251280095;0.000290738911181622;0.000693444437553831;0.000822449647044217;0.045477727706462;2.01273844231767E-06;0;0.00623157041867666;0.00425471380315425;0.000875797942629894;0;0.000139754819175819;2.13721743706444E-05;2.66687843607091E-06;0.00374687059127766;0.00397965954404606;0.00826834971942084;1.76856205880245;1.48455398040284;0.598688684693452;0.921458448000708;0.0159241668840235;1.3782815379722;0.132843506520493;0.264834318119205;1.27658360874403;0.497889413953704;0.0243010607471049;0.0245199876147405;5.72285;0.82731;6.55016
2019-04-30;16.129564578392;0.224641680291523;0.209547693467803;0.314725697474147;0.329257305954249;0.0908674608004243;3.13742123453613;3.46667854049038;0.172666510025597;0.192099633093191;0.183569320369763;0.187919550178263;0.00661869424397498;0.000759049448274037;0.000478225611735613;0.00257698778624148;0.169546738754232;1.9836987884749E-06;0;0.00603248010424492;0;0.000257536357480047;0;0.000340989492629127;2.10638180872139E-05;2.62840089472925E-06;0.00182253435420354;0.00659694520086663;0.00294840495889432;1.93056843333537;1.73514174800533;0.699782743471841;1.11497735112327;0.0311649822981627;1.0788334477407;0.0948779737909207;0.304457852676338;1.23982181731696;0.367617657667769;0.0216218480760032;0.0255866222080952;6.15227;0.95999;7.11226
