date,PM2.5,Cl,NO3,SO4,Na,NH4,Mg,Al,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sb,Ba,Pb,OCPk1 C,OCPk2 C,OCPk3 C,OCPk4 C,OCPk5 C,Pyrol C,ECPk1 C,ECPk2 C,ECPk3 C,ECPk4 C,ECPk5 C,ECPk6 C,C Orgánico,C Elemental,C Total,Event,ws,wd,temp,rh,pres,blh
2019-04-04 00:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,1.5,53,293.4,83,1003,190.5
2019-04-04 01:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,1,3,293.6,83,1002,197.5
2019-04-04 02:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,1,52,293.6,81,1001,205.5
2019-04-04 03:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,2.6,2,293.2,83,1000,206.5
2019-04-04 04:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,2.6,320,293.2,82,999,202.2
2019-04-04 05:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,1.5,318,293.6,80,998,203.8
2019-04-04 06:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,2.1,317,293.9,79,998,215
2019-04-04 07:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,3.6,321,294.1,79,998,244.9
2019-04-04 08:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,1.5,274,293.9,85,998,287.9
2019-04-04 09:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,2.1,316,297.4,75,998,317.8
