"ID";"volumen_aforo";"area_analizada";"area_material";"Be";"Na";"Mg";"Al";"K";"Ca";"Ti";"V";"Cr";"Mn";"Fe";"Co";"Ni";"Cu";"Zn";"As";"Se";"Mo";"Ag";"Cd";"Sb";"Ba";"Hg";"Pb";"Lote";"Blanco"
26;50;42,95;406,4508;0,275;16601,7609217097;1231,99197806738;968,376963983084;668,553975263619;3092,90888830805;20,8703494564471;1,47587640034436;13,7013114829662;6,01902688136103;201,613680578178;0,2;4,91714543710735;18,5987449924427;124,292927043766;1,39362246551969;0,98551996251049;1,11809443852701;0,05;3,44602701798626;4,41954087274627;45,2173672267397;0,13;38,3550991924531;"4";"0"
27;50;42,95;406,4508;0,275;16624,3172859424;1097,73268799013;907,561337375633;692,163215520381;3604,77892704532;23,1783595127168;6,40035039169477;10,9490022167828;5,61977237353258;279,359002269341;0,2;6,6971265997634;12,3018811244069;93,4802175540809;0,829310199471354;0,06;1,26698055201602;0,08;0,265;2,18819403271486;52,202590320991;0,13;11,9786074984417;"4";"0"
28;50;42,95;406,4508;0,275;16788,7188117248;1211,34443534762;1098,98033662567;1174,38181948923;3356,09099925749;24,1158546406508;5,7096043501357;11,2842059494075;6,13979231357512;279,395076592869;0,2;6,24848233009572;70,1124305757621;175,039993776145;2,73748407875428;0,06;1,47046273721621;0,297533388084057;1,57892406313517;10,2583888496238;51,9255134702285;0,11;65,9349659258732;"4";"0"
29;50;42,95;406,4508;0,275;15405,8613249834;927,311992007985;914,84843656082;700,669389486155;3220,07357871277;25,4202174714267;1,87551738864719;9,80871584352439;14,0373947279147;309,305701205631;0,2;4,73456722386697;13,6144823044524;160,325054254325;0,98854814086712;0,06;1,14304168185887;0,05;0,910457563908265;4,20761671510338;47,4439906443804;0,13;17,6251800861011;"4";"0"
30;50;42,95;406,4508;0,275;16294,6893987719;973,909534732901;708,635885253141;586,399540361265;2707,85048427057;16,8003689419868;1,55786757972572;14,2969198988174;2,70971263494695;139,884097470001;0,2;4,31032199196477;19,0269761218158;67,4508483903213;0,04;0,06;2,06490563124767;0,08;0,265;3,53115227643726;43,8173121033969;0,13;8,71836924474322;"4";"0"
33;50;42,95;406,4508;0,275;16377,8235233346;1205,75761328687;956,455389822412;950,052594551242;3369,5313777346;24,6883712742827;3,74051698456981;9,338082871154;6,00345797098728;270,1424497343;0,2;5,15256328503233;11,8945231590281;76,5349821025029;0,828777507035416;0,06;1,16461441934615;0,08;0,265;1,37305921170959;50,4386420918619;0,13;4,64946127599477;"4";"0"
34;50;42,95;406,4508;0,275;16795,4576186436;1348,74584692191;1107,08333024629;1343,61755116946;3653,04490569513;27,2078656339334;8,05036027836181;10,7256078981524;8,97443117619886;327,556320114831;0,452257104344144;9,35787738073198;28,9817379334689;207,479235449343;2,08956292278052;0,06;1,36495008830038;0,260245143858169;0,926176512935453;3,10924674997909;52,8571879133692;0,13;41,482751354874;"4";"0"
35;50;42,95;406,4508;0,275;15859,0967198558;1183,45577256806;953,982828427045;852,592412154898;3006,03183001514;24,5806575324025;10,623159967621;9,07953817054891;5,83913097802442;309,148186464394;0,2;6,56253593401305;22,7447629010343;164,060934730566;1,73474023509058;0,06;1,36466468697333;0,08;1,01280506135386;5,9733391718822;49,6866745216425;0,837546938110721;25,395447768963;"4";"0"
36;50;42,95;406,4508;0,275;15573,4974260217;1110,02044664681;946,12597841214;686,755348603635;3126,67118679791;36,4322584175383;2,9680783964555;8,98861722719662;10,4686580858781;298,922151239173;0,2;4,38437251537055;21,6420095689313;116,242881108708;0,660009981024957;0,06;1,42719936614391;0,05;0,630157888258346;1,75705106116078;44,7560280896404;0,11;8,9092830164538;"4";"0"
201;50;42,95;406,4508;0,275;13243,2094350209;772,927277133302;580,73690213829;235;2065,5992464311;12,3978746539109;1,36174846520975;11,4118412021408;1,60506031235137;88,5536188880255;0,2;3,27771809668575;16,553443920566;56,4594278110092;0,25;0,06;0,055;0,05;0,265;0,25;35,7689763216611;0,13;1,40207165387437;"4";"1"
202;50;42,95;406,4508;0,275;7486,39593965364;579,871149145457;468,591788716065;235;1782,41085179427;9,87773302698272;0,732623504525398;5,80558673970102;0,865810258991679;47,3223467957994;0,2;2,23276088376487;6,73364567349642;31,5646352236951;0,25;0,06;0,4;0,08;0,265;0,25;22,4960270533701;0,13;0,660722134740596;"4";"1"
37;50;44,45;406,4508;0,275;13853,2154785693;1223,21547856985;1403,63421547856;1718,25632547896;3899,32145896587;49,8113253254125;4,23223652145874;12,6643256898785;16,1482012458965;670,652236521452;3,25432654125896;18,0353214569854;70,4582362152896;241,147215478563;0,852236521458745;0,06;5,77252136547856;7,12432154125896;1,08432012547859;2,85832652145874;57,7685214255203;1,13423654789654;31,2312312547856;"14";"0"
38;50;44,45;406,4508;0,17;14834,3265896547;1329,32012569854;1198,53432012457;2463,26521547859;3975,32652365896;34,6320125698547;3,12332012589658;11,8853201245896;12,0433202314528;508,283320321547;0,887326521458755;17,3923210256478;141,353256321478;497,825231542365;1,79832102546325;2,44632512565895;4,23232012547856;8,19232012012547;2,42132012547585;16,5732652547857;63,4673256325698;1,17832654785698;125,072632512547;"14";"0"
39;50;44,45;406,4508;0,275;13741,2365874589;1172,32036589652;905,397212032569;1022,32654785965;3941,32658965823;27,0123201265478;2,89932036521458;9,97332012547856;8,06332201254785;402,056320321452;0,2;10,5023201254698;46,3773201258965;422,223152478569;1,87832102145789;0,06;2,58320124587965;18,9732659852541;0,757325475754785;9,0573202155968;57,5833263256985;1,35623659874587;34,0682320125478;"14";"0"
40;50;44,45;406,4508;0,275;13904,3265896547;1274,32012547856;1121,66832023658;2163,32012458745;3707,23569854785;34,1853203256985;5,53632025632589;18,7983201254785;16,2673202145236;505,699302120365;0,641326521458965;15,383320320125;70,6223210254789;357,903321254785;1,91132652102154;2,19632012568596;19,8743201254785;15,4323256985478;4,18632569854885;19,2232582223652;60,7413265412569;0,93201254698789;63,5773265325412;"14";"0"
41;50;44,45;406,4508;0,275;14913,2658974589;1123,32012478965;1711,16932147521;3413,32012547854;4811,23652145789;73,8182102536985;4,11532102563254;13,8132012457856;25,4543202145258;898,482236521458;0,924232012547856;27,8743587458412;74,7972154785698;244,335321456985;0,704320125478569;0,06;2,23932012547856;5,75235961254785;0,70932012547852;3,10232012201202;68,2376985478547;0,763236598741022;14,4023201254785;"14";"0"
42;50;44,45;406,4508;0,275;17343,3214025632;1575,69854785236;1411,15823652632;5535,23654120258;5199,32652140258;44,5343201254785;3,41153214785963;9,5320321456985;14,1613201254785;439,428236521458;1,04632102564785;33,9192365210258;104,155320125469;314,702321456985;0,773201254785698;0,06;1,83332012547856;8,61320125478569;1,00232012457859;1,53836521458965;54,6913652589658;0,11;16,0286255321452;"14";"0"
43;50;44,45;406,4508;0,275;17586,3210547896;1315,31596847856;1355,48732012548;5402,32658745896;5232,01254785963;47,3313265145203;10,7252365214587;12,7593256412589;18,7333201254785;704,842320124587;2,75432012546987;48,7942365214589;153,463321025698;349,628321025478;2,09923652145789;1,95132154785698;3,11532012547985;6,31332652102547;1,32832654125896;10,5553265985478;85,5163696369632;0,11;65,8136523655874;"14";"0"
44;50;44,45;406,4508;0,275;17609,3201245789;1508,32031458796;1413,88432012478;5221,21025478569;3201,254785963;41,8163265214587;5,46232012563258;15,3263201256478;14,1612365214578;544,447320124569;1,09323015469874;43,8693214569658;231,004521021457;271,888321587452;1,09932145698547;0,06;2,01332012547856;7,27532652102547;0,609320214587896;4,51320321593214;59,2263202201203;0,11;11,8352365255896;"14";"0"
45;50;44,45;406,4508;0,275;17183,2012457896;1509,32012023654;1325,89210356985;3823,65896547859;4474,5369854785;43,5192365203541;3,28732652145896;38,9573201254698;23,1143201254785;838,079321452036;1,24236589745821;45,557325478512;166,683215647859;381,502321458796;1,44232102456985;1,47432012547856;6,27632012458965;12,1643202145896;1,95136526985421;18,2663201254782;74,1513202023665;0,11;107,283320125475;"14";"0"
46;50;44,45;406,4508;0,275;13705,3201245785;1252,56987451256;1147,73832012457;3514,3215478521;3857,32652102632;39,2023658965896;20,1482365412014;12,8053265412547;17,5523201254785;721,841321025478;1,05532012546985;37,2073201254785;135,407320125478;240,089320125478;2,97536521452369;0,815320125698548;3,58320214578547;12,2443254445896;1,66719658732564;11,5853265214589;62,1523202014589;0,11;147,173256325412;"14";"0"
47;50;44,45;406,4508;0,275;15302,3201245785;1316,53214589654;1461,95525631789;1349,45214785963;4454,32012547856;42,3432658985785;5,90021258965478;14,5933202145896;17,6723201254785;711,566320125478;0,890321254698547;18,2261236698563;257,964320125469;324,043201258965;1,96732145874589;5,19932012547856;1,96121452145236;11,3493201254785;0,914912485365795;8,07932620125478;64,8263320254412;0,11;163,729325100214;"14";"0"
48;50;44,45;406,4508;0,275;14844,3201245789;1107,12302563214;1134,57630214785;2663,23658965874;3754,32012458965;47,0882365897458;18,8812154785963;21,0520125478589;30,5053201254785;1030,05632032145;0,919102536985412;24,8823210258963;85,0983202541698;397,403362145874;2,35132102458741;0,06;4,45936985547852;7,16432012547856;2,87632012547856;15,1063265210214;86,4393652589636;0,11;43,0622365214587;"14";"0"
49;50;44,45;406,4508;0,275;16135,3201245785;1247,32120365478;1035,11423651478;2785,23625896325;4108,23569854785;30,7443265896589;10,4342102589632;12,3233203214569;16,6443201254785;469,096214523658;0,522236521254785;20,5173210254785;56,0120365821479;376,763362154785;1,11131201201458;0,06;1,86536254125896;5,12323652145236;1,20432659856985;2,86532652145874;59,6862585225874;0,494236598547896;33,3192365210002;"14";"0"
