date,NO,NO2,NOx,CO,O3,SO2,aqsite,t2,rh2,slp,wspd,wdir,calm,meteosite,gas_emcycle,aer_emcycle,month,U,V,daynight,datatype
2019-07-19T13:00:00Z,0.018513333333333333,0.023243333333333335,0.04174666666666667,0.34687833333333334,0.00536,0.0038176271149424554,CNEA-CAC,17.6,67,1017.6,1.67,360,0,OBS,1.419,1.47871448716558,07,-0.47376412278250063,1.6013892581018918,day,training
2019-07-19T14:00:00Z,0.019168333333333332,0.026716666666666666,0.04589,0.37008,0.0050550000000000005,0.0033933223001978846,CNEA-CAC,18.9,66,1016.6,1.11,320,0,OBS,1.408,1.48912796946956,07,1.0031126742873817,-0.4752525251737413,day,training
2019-07-19T15:00:00Z,0.01234,0.024908333333333334,0.037255,0.33553333333333335,0.007906666666666666,0.0033073508187866536,CNEA-CAC,19.6,63,1015.8,3.61,360,0,OBS,1.43,1.53078189868549,07,-1.0241248402663636,3.4616857615256467,day,training
2019-07-19T16:00:00Z,0.0242,0.032161666666666665,0.056365,0.48036666666666666,0.0041733333333333344,0.0030063793373754193,CNEA-CAC,19.8,59,1015.1,1.94,360,0,OBS,1.452,1.55160886329346,07,-0.550360717483863,1.8602965034237546,day,training
2019-07-19T17:00:00Z,0.041995,0.03671833333333333,0.07871,0.640175,0.0018333333333333326,0.002912074522630856,CNEA-CAC,18.9,66,1014.9,1.94,360,0,OBS,1.4905,1.56202234559744,07,-0.550360717483863,1.8602965034237546,day,training
2019-07-19T18:00:00Z,0.07668333333333334,0.03675333333333333,0.11344166666666666,0.84348,0.0018533333333333318,0.0027694363745529547,CNEA-CAC,17.8,71,1015.1,1.67,320,0,OBS,1.551,1.57243582790143,07,1.5091875369909253,-0.7150195649010341,day,training
2019-07-19T19:00:00Z,0.06890666666666667,0.03256833333333333,0.10147666666666666,0.7681883333333334,0.0012299999999999985,0.0024517982264750555,CNEA-CAC,16.6,76,1014.3,1.67,320,0,OBS,1.705,1.55160886329346,07,1.5091875369909253,-0.7150195649010341,day,training
2019-07-19T20:00:00Z,0.10508833333333334,0.03407333333333333,0.13916,1.1154866666666667,0.001941666666666668,0.0025691600783971542,CNEA-CAC,15.1,85,1014.9,0,0,1,OBS,1.7666,1.56202234559744,07,0,0,day,training
2019-07-19T21:00:00Z,0.08906,0.03305,0.12211166666666666,0.9560233333333333,0.001483333333333333,0.002541521930319257,CNEA-CAC,14,89,1014.9,0,0,1,OBS,1.727,1.44747404025363,07,0,0,night,training
2019-07-19T22:00:00Z,0.07776,0.032685,0.11045,0.9395483333333333,0.0017483333333333344,0.0024238837822413567,CNEA-CAC,13.8,90,1014.9,0.56,360,0,OBS,0.99,1.2199394519116,07,-0.1588670112324553,0.5369928051120118,night,training
