1									
1	19	8	7	21	0	-34.572	-58.513	10	1016.7
2	19	8	7	21	0	-34.572	-58.513	200	995.5
3	19	8	7	21	0	-34.572	-58.513	500	959.4
1	19	8	7	20	-1	-34.655	-58.396	11.8	1016.3
2	19	8	7	20	-1	-34.728	-58.275	225.2	991.7
3	19	8	7	20	-1	-34.76	-58.266	533.8	955.4
1	19	8	7	19	-2	-34.747	-58.274	13.2	1016.1
2	19	8	7	19	-2	-34.877	-58.054	236.3	990.4
3	19	8	7	19	-2	-34.937	-58.044	551.5	954
1	19	8	7	18	-3	-34.845	-58.153	13.3	1016.2
2	19	8	7	18	-3	-35.029	-57.853	226.4	992.8
3	19	8	7	18	-3	-35.111	-57.841	546.3	955.3
1	19	8	7	17	-4	-34.944	-58.036	12.8	1016.6
2	19	8	7	17	-4	-35.192	-57.661	215.6	997
3	19	8	7	17	-4	-35.299	-57.638	543.2	958.3
1	19	8	7	16	-5	-35.05	-57.92	12.9	1017.2
2	19	8	7	16	-5	-35.375	-57.462	220	995.8
3	19	8	7	16	-5	-35.513	-57.428	563.4	955.5
1	19	8	7	15	-6	-35.174	-57.798	13.8	1017.7
2	19	8	7	15	-6	-35.58	-57.268	232.5	993.9
3	19	8	7	15	-6	-35.761	-57.226	604.3	951.3
1	19	8	7	14	-7	-35.317	-57.668	14.9	1017.8
2	19	8	7	14	-7	-35.815	-57.078	253.5	991.2
3	19	8	7	14	-7	-36.046	-57.057	670.3	943.7
1	19	8	7	13	-8	-35.477	-57.528	15.7	1017.9
2	19	8	7	13	-8	-36.082	-56.896	287.3	986.8
3	19	8	7	13	-8	-36.341	-56.954	745.2	932.9
1	19	8	7	12	-9	-35.658	-57.386	16.5	1017.9
2	19	8	7	12	-9	-36.362	-56.735	324.2	981.2
3	19	8	7	12	-9	-36.644	-56.92	821.9	924.3
1	19	8	7	11	-10	-35.862	-57.258	18.1	1017.6
2	19	8	7	11	-10	-36.647	-56.61	357.5	977.1
3	19	8	7	11	-10	-36.978	-56.962	905.2	914.6
1	19	8	7	10	-11	-36.079	-57.157	21.6	1017.1
2	19	8	7	10	-11	-36.94	-56.538	391.1	972.7
3	19	8	7	10	-11	-37.33	-57.091	995.1	903.1
1	19	8	7	9	-12	-36.291	-57.083	26.6	1016.1
2	19	8	7	9	-12	-37.252	-56.53	424.7	967.4
3	19	8	7	9	-12	-37.684	-57.316	1106.3	889.1
1	19	8	7	8	-13	-36.49	-57.038	30.2	1014.7
2	19	8	7	8	-13	-37.579	-56.592	458.5	963.1
3	19	8	7	8	-13	-38.025	-57.65	1254	865.7
1	19	8	7	7	-14	-36.676	-57.016	30.8	1014.5
2	19	8	7	7	-14	-37.907	-56.721	500.3	958.8
3	19	8	7	7	-14	-38.327	-58.074	1395.8	845.5
1	19	8	7	6	-15	-36.85	-57.002	30.8	1014.8
2	19	8	7	6	-15	-38.233	-56.914	557.2	951.9
3	19	8	7	6	-15	-38.609	-58.543	1529.2	839.5
1	19	8	7	5	-16	-37.005	-56.997	31.1	1014.2
2	19	8	7	5	-16	-38.556	-57.171	605.9	942.8
3	19	8	7	5	-16	-38.886	-59.071	1658.9	828
1	19	8	7	4	-17	-37.143	-57.015	30.2	1013.3
2	19	8	7	4	-17	-38.872	-57.485	633.6	940.2
3	19	8	7	4	-17	-39.153	-59.651	1741.2	819.2
1	19	8	7	3	-18	-37.284	-57.064	27.8	1012.5
2	19	8	7	3	-18	-39.173	-57.84	654.7	939.6
3	19	8	7	3	-18	-39.421	-60.263	1812.8	817
1	19	8	7	2	-19	-37.419	-57.126	26.1	1011.8
2	19	8	7	2	-19	-39.449	-58.227	691.8	936.2
3	19	8	7	2	-19	-39.677	-60.891	1940	804.1
1	19	8	7	1	-20	-37.532	-57.191	26.1	1010.5
2	19	8	7	1	-20	-39.709	-58.651	732.8	927.4
3	19	8	7	1	-20	-39.926	-61.537	2074.2	785
1	19	8	7	0	-21	-37.622	-57.256	27.7	1009
2	19	8	7	0	-21	-39.979	-59.064	732.9	925.1
3	19	8	7	0	-21	-40.189	-62.254	2159.2	774.6
1	19	8	6	23	-22	-37.677	-57.341	29.3	1006.2
2	19	8	6	23	-22	-40.251	-59.495	735.2	930.3
3	19	8	6	23	-22	-40.435	-63	2180.7	774.9
1	19	8	6	22	-23	-37.686	-57.459	30	1003.4
2	19	8	6	22	-23	-40.51	-59.999	761.1	921.4
3	19	8	6	22	-23	-40.655	-63.704	2182.8	771.8
1	19	8	6	21	-24	-37.655	-57.602	30.8	1000.9
2	19	8	6	21	-24	-40.768	-60.526	790.1	919
3	19	8	6	21	-24	-40.841	-64.36	2104.9	772.1
1	19	8	6	20	-25	-37.607	-57.767	33.9	999.6
2	19	8	6	20	-25	-41.036	-61.066	852.4	912.2
3	19	8	6	20	-25	-41.027	-64.904	1942.6	797
1	19	8	6	19	-26	-37.562	-57.964	41.8	997.3
2	19	8	6	19	-26	-41.327	-61.626	940.1	900.6
3	19	8	6	19	-26	-41.263	-65.36	1831.2	800
1	19	8	6	18	-27	-37.516	-58.2	55.1	995.2
2	19	8	6	18	-27	-41.646	-62.188	1030.6	889.1
3	19	8	6	18	-27	-41.543	-65.822	1705.5	781.6
1	19	8	6	17	-28	-37.447	-58.464	72.4	993.4
2	19	8	6	17	-28	-41.98	-62.757	1066.7	878.2
3	19	8	6	17	-28	-41.863	-66.353	1487.5	790
1	19	8	6	16	-29	-37.338	-58.752	90.3	990.3
2	19	8	6	16	-29	-42.339	-63.362	1056	885.8
3	19	8	6	16	-29	-42.202	-67.01	1254.2	808.3
